sample-id	host_id	host	strain	animal_source	sex	age_at_launch	unit	type	Condition	Time	Unit	euthanasia_location	Protocol.REF	light_cycle	Habitat	Housing_Temperature	Unit.1	Mouse_Cage_ID	Diet	Feeding_Schedule
0E29_Pre-flight_Week 0_Fresh fecal pellet	BL1	Mus musculus	BALB/c	Taconic Biosciences	Female	30	week	Feces	Basal Control	Launch plus 0	week	On Earth	animal husbandry	12 h light/dark cycle	Standard Vivarium Cage	~28	degree Celsius	204	Nutrient Upgraded Rodent Food Bar (NuRFB)	ad libitum
1D21_Pre-flight_Week 0_Fresh fecal pellet	BL2	Mus musculus	BALB/c	Taconic Biosciences	Female	30	week	Feces	Basal Control	Launch plus 0	week	On Earth	animal husbandry	12 h light/dark cycle	Standard Vivarium Cage	~28	degree Celsius	204	Nutrient Upgraded Rodent Food Bar (NuRFB)	ad libitum
2401_Pre-flight_Week 0_Fresh fecal pellet	BL3	Mus musculus	BALB/c	Taconic Biosciences	Female	30	week	Feces	Basal Control	Launch plus 0	week	On Earth	animal husbandry	12 h light/dark cycle	Standard Vivarium Cage	~28	degree Celsius	204	Nutrient Upgraded Rodent Food Bar (NuRFB)	ad libitum
2B00_Pre-flight_Week 0_Fresh fecal pellet	BL4	Mus musculus	BALB/c	Taconic Biosciences	Female	30	week	Feces	Basal Control	Launch plus 0	week	On Earth	animal husbandry	12 h light/dark cycle	Standard Vivarium Cage	~28	degree Celsius	204	Nutrient Upgraded Rodent Food Bar (NuRFB)	ad libitum
691B_Pre-flight_Week 0_Fresh fecal pellet	BL5	Mus musculus	BALB/c	Taconic Biosciences	Female	30	week	Feces	Basal Control	Launch plus 0	week	On Earth	animal husbandry	12 h light/dark cycle	Standard Vivarium Cage	~28	degree Celsius	204	Nutrient Upgraded Rodent Food Bar (NuRFB)	ad libitum
014D_Pre-flight_Week 0_Fresh fecal pellet	BL6	Mus musculus	BALB/c	Taconic Biosciences	Female	30	week	Feces	Basal Control	Launch plus 0	week	On Earth	animal husbandry	12 h light/dark cycle	Standard Vivarium Cage	~28	degree Celsius	204	Nutrient Upgraded Rodent Food Bar (NuRFB)	ad libitum
3B49_Pre-flight_Week 0_Fresh fecal pellet	BL7	Mus musculus	BALB/c	Taconic Biosciences	Female	30	week	Feces	Basal Control	Launch plus 0	week	On Earth	animal husbandry	12 h light/dark cycle	Standard Vivarium Cage	~28	degree Celsius	204	Nutrient Upgraded Rodent Food Bar (NuRFB)	ad libitum
0A78_Pre-flight_Week 0_Fresh fecal pellet	BL8	Mus musculus	BALB/c	Taconic Biosciences	Female	30	week	Feces	Basal Control	Launch plus 0	week	On Earth	animal husbandry	12 h light/dark cycle	Standard Vivarium Cage	~28	degree Celsius	204	Nutrient Upgraded Rodent Food Bar (NuRFB)	ad libitum
362D_Pre-flight_Week 0_Fresh fecal pellet	BL9	Mus musculus	BALB/c	Taconic Biosciences	Female	30	week	Feces	Basal Control	Launch plus 0	week	On Earth	animal husbandry	12 h light/dark cycle	Standard Vivarium Cage	~28	degree Celsius	204	Nutrient Upgraded Rodent Food Bar (NuRFB)	ad libitum
4305_Pre-flight_Week 0_Fresh fecal pellet	BL10	Mus musculus	BALB/c	Taconic Biosciences	Female	30	week	Feces	Basal Control	Launch plus 0	week	On Earth	animal husbandry	12 h light/dark cycle	Standard Vivarium Cage	~28	degree Celsius	204	Nutrient Upgraded Rodent Food Bar (NuRFB)	ad libitum
7B56_Pre-flight_Week 0_Fresh fecal pellet	BL11	Mus musculus	BALB/c	Taconic Biosciences	Female	30	week	Feces	Basal Control	Launch plus 0	week	On Earth	animal husbandry	12 h light/dark cycle	Standard Vivarium Cage	~28	degree Celsius	213	Nutrient Upgraded Rodent Food Bar (NuRFB)	ad libitum
0433_Pre-flight_Week 0_Fresh fecal pellet	BL12	Mus musculus	BALB/c	Taconic Biosciences	Female	30	week	Feces	Basal Control	Launch plus 0	week	On Earth	animal husbandry	12 h light/dark cycle	Standard Vivarium Cage	~28	degree Celsius	213	Nutrient Upgraded Rodent Food Bar (NuRFB)	ad libitum
496F_Pre-flight_Week 0_Fresh fecal pellet	BL13	Mus musculus	BALB/c	Taconic Biosciences	Female	30	week	Feces	Basal Control	Launch plus 0	week	On Earth	animal husbandry	12 h light/dark cycle	Standard Vivarium Cage	~28	degree Celsius	213	Nutrient Upgraded Rodent Food Bar (NuRFB)	ad libitum
4410_Pre-flight_Week 0_Fresh fecal pellet	BL14	Mus musculus	BALB/c	Taconic Biosciences	Female	30	week	Feces	Basal Control	Launch plus 0	week	On Earth	animal husbandry	12 h light/dark cycle	Standard Vivarium Cage	~28	degree Celsius	213	Nutrient Upgraded Rodent Food Bar (NuRFB)	ad libitum
1B7C_Pre-flight_Week 0_Fresh fecal pellet	BL15	Mus musculus	BALB/c	Taconic Biosciences	Female	30	week	Feces	Basal Control	Launch plus 0	week	On Earth	animal husbandry	12 h light/dark cycle	Standard Vivarium Cage	~28	degree Celsius	213	Nutrient Upgraded Rodent Food Bar (NuRFB)	ad libitum
6224_Pre-flight_Week 0_Fresh fecal pellet	BL16	Mus musculus	BALB/c	Taconic Biosciences	Female	30	week	Feces	Basal Control	Launch plus 0	week	On Earth	animal husbandry	12 h light/dark cycle	Standard Vivarium Cage	~28	degree Celsius	213	Nutrient Upgraded Rodent Food Bar (NuRFB)	ad libitum
5D38_Pre-flight_Week 0_Fresh fecal pellet	BL17	Mus musculus	BALB/c	Taconic Biosciences	Female	30	week	Feces	Basal Control	Launch plus 0	week	On Earth	animal husbandry	12 h light/dark cycle	Standard Vivarium Cage	~28	degree Celsius	213	Nutrient Upgraded Rodent Food Bar (NuRFB)	ad libitum
3451_Pre-flight_Week 0_Fresh fecal pellet	BL18	Mus musculus	BALB/c	Taconic Biosciences	Female	30	week	Feces	Basal Control	Launch plus 0	week	On Earth	animal husbandry	12 h light/dark cycle	Standard Vivarium Cage	~28	degree Celsius	213	Nutrient Upgraded Rodent Food Bar (NuRFB)	ad libitum
0F6A_Pre-flight_Week 0_Fresh fecal pellet	BL19	Mus musculus	BALB/c	Taconic Biosciences	Female	30	week	Feces	Basal Control	Launch plus 0	week	On Earth	animal husbandry	12 h light/dark cycle	Standard Vivarium Cage	~28	degree Celsius	213	Nutrient Upgraded Rodent Food Bar (NuRFB)	ad libitum
3C4E_Pre-flight_Week 0_Fresh fecal pellet	BL20	Mus musculus	BALB/c	Taconic Biosciences	Female	30	week	Feces	Basal Control	Launch plus 0	week	On Earth	animal husbandry	12 h light/dark cycle	Standard Vivarium Cage	~28	degree Celsius	213	Nutrient Upgraded Rodent Food Bar (NuRFB)	ad libitum
0E29_Pre-flight_Week 0_Necropsy fecal pellet	BL1	Mus musculus	BALB/c	Taconic Biosciences	Female	30	week	Feces	Basal Control	Launch plus 0	week	On Earth	animal husbandry	12 h light/dark cycle	Standard Vivarium Cage	~28	degree Celsius	204	Nutrient Upgraded Rodent Food Bar (NuRFB)	ad libitum
1D21_Pre-flight_Week 0_Necropsy fecal pellet	BL2	Mus musculus	BALB/c	Taconic Biosciences	Female	30	week	Feces	Basal Control	Launch plus 0	week	On Earth	animal husbandry	12 h light/dark cycle	Standard Vivarium Cage	~28	degree Celsius	204	Nutrient Upgraded Rodent Food Bar (NuRFB)	ad libitum
2401_Pre-flight_Week 0_Necropsy fecal pellet	BL3	Mus musculus	BALB/c	Taconic Biosciences	Female	30	week	Feces	Basal Control	Launch plus 0	week	On Earth	animal husbandry	12 h light/dark cycle	Standard Vivarium Cage	~28	degree Celsius	204	Nutrient Upgraded Rodent Food Bar (NuRFB)	ad libitum
2B00_Pre-flight_Week 0_Necropsy fecal pellet	BL4	Mus musculus	BALB/c	Taconic Biosciences	Female	30	week	Feces	Basal Control	Launch plus 0	week	On Earth	animal husbandry	12 h light/dark cycle	Standard Vivarium Cage	~28	degree Celsius	204	Nutrient Upgraded Rodent Food Bar (NuRFB)	ad libitum
691B_Pre-flight_Week 0_Necropsy fecal pellet	BL5	Mus musculus	BALB/c	Taconic Biosciences	Female	30	week	Feces	Basal Control	Launch plus 0	week	On Earth	animal husbandry	12 h light/dark cycle	Standard Vivarium Cage	~28	degree Celsius	204	Nutrient Upgraded Rodent Food Bar (NuRFB)	ad libitum
014D_Pre-flight_Week 0_Necropsy fecal pellet	BL6	Mus musculus	BALB/c	Taconic Biosciences	Female	30	week	Feces	Basal Control	Launch plus 0	week	On Earth	animal husbandry	12 h light/dark cycle	Standard Vivarium Cage	~28	degree Celsius	204	Nutrient Upgraded Rodent Food Bar (NuRFB)	ad libitum
3B49_Pre-flight_Week 0_Necropsy fecal pellet	BL7	Mus musculus	BALB/c	Taconic Biosciences	Female	30	week	Feces	Basal Control	Launch plus 0	week	On Earth	animal husbandry	12 h light/dark cycle	Standard Vivarium Cage	~28	degree Celsius	204	Nutrient Upgraded Rodent Food Bar (NuRFB)	ad libitum
0A78_Pre-flight_Week 0_Necropsy fecal pellet	BL8	Mus musculus	BALB/c	Taconic Biosciences	Female	30	week	Feces	Basal Control	Launch plus 0	week	On Earth	animal husbandry	12 h light/dark cycle	Standard Vivarium Cage	~28	degree Celsius	204	Nutrient Upgraded Rodent Food Bar (NuRFB)	ad libitum
362D_Pre-flight_Week 0_Necropsy fecal pellet	BL9	Mus musculus	BALB/c	Taconic Biosciences	Female	30	week	Feces	Basal Control	Launch plus 0	week	On Earth	animal husbandry	12 h light/dark cycle	Standard Vivarium Cage	~28	degree Celsius	204	Nutrient Upgraded Rodent Food Bar (NuRFB)	ad libitum
4305_Pre-flight_Week 0_Necropsy fecal pellet	BL10	Mus musculus	BALB/c	Taconic Biosciences	Female	30	week	Feces	Basal Control	Launch plus 0	week	On Earth	animal husbandry	12 h light/dark cycle	Standard Vivarium Cage	~28	degree Celsius	204	Nutrient Upgraded Rodent Food Bar (NuRFB)	ad libitum
7B56_Pre-flight_Week 0_Necropsy fecal pellet	BL11	Mus musculus	BALB/c	Taconic Biosciences	Female	30	week	Feces	Basal Control	Launch plus 0	week	On Earth	animal husbandry	12 h light/dark cycle	Standard Vivarium Cage	~28	degree Celsius	213	Nutrient Upgraded Rodent Food Bar (NuRFB)	ad libitum
0433_Pre-flight_Week 0_Necropsy fecal pellet	BL12	Mus musculus	BALB/c	Taconic Biosciences	Female	30	week	Feces	Basal Control	Launch plus 0	week	On Earth	animal husbandry	12 h light/dark cycle	Standard Vivarium Cage	~28	degree Celsius	213	Nutrient Upgraded Rodent Food Bar (NuRFB)	ad libitum
496F_Pre-flight_Week 0_Necropsy fecal pellet	BL13	Mus musculus	BALB/c	Taconic Biosciences	Female	30	week	Feces	Basal Control	Launch plus 0	week	On Earth	animal husbandry	12 h light/dark cycle	Standard Vivarium Cage	~28	degree Celsius	213	Nutrient Upgraded Rodent Food Bar (NuRFB)	ad libitum
4410_Pre-flight_Week 0_Necropsy fecal pellet	BL14	Mus musculus	BALB/c	Taconic Biosciences	Female	30	week	Feces	Basal Control	Launch plus 0	week	On Earth	animal husbandry	12 h light/dark cycle	Standard Vivarium Cage	~28	degree Celsius	213	Nutrient Upgraded Rodent Food Bar (NuRFB)	ad libitum
1B7C_Pre-flight_Week 0_Necropsy fecal pellet	BL15	Mus musculus	BALB/c	Taconic Biosciences	Female	30	week	Feces	Basal Control	Launch plus 0	week	On Earth	animal husbandry	12 h light/dark cycle	Standard Vivarium Cage	~28	degree Celsius	213	Nutrient Upgraded Rodent Food Bar (NuRFB)	ad libitum
6224_Pre-flight_Week 0_Necropsy fecal pellet	BL16	Mus musculus	BALB/c	Taconic Biosciences	Female	30	week	Feces	Basal Control	Launch plus 0	week	On Earth	animal husbandry	12 h light/dark cycle	Standard Vivarium Cage	~28	degree Celsius	213	Nutrient Upgraded Rodent Food Bar (NuRFB)	ad libitum
5D38_Pre-flight_Week 0_Necropsy fecal pellet	BL17	Mus musculus	BALB/c	Taconic Biosciences	Female	30	week	Feces	Basal Control	Launch plus 0	week	On Earth	animal husbandry	12 h light/dark cycle	Standard Vivarium Cage	~28	degree Celsius	213	Nutrient Upgraded Rodent Food Bar (NuRFB)	ad libitum
3451_Pre-flight_Week 0_Necropsy fecal pellet	BL18	Mus musculus	BALB/c	Taconic Biosciences	Female	30	week	Feces	Basal Control	Launch plus 0	week	On Earth	animal husbandry	12 h light/dark cycle	Standard Vivarium Cage	~28	degree Celsius	213	Nutrient Upgraded Rodent Food Bar (NuRFB)	ad libitum
0F6A_Pre-flight_Week 0_Necropsy fecal pellet	BL19	Mus musculus	BALB/c	Taconic Biosciences	Female	30	week	Feces	Basal Control	Launch plus 0	week	On Earth	animal husbandry	12 h light/dark cycle	Standard Vivarium Cage	~28	degree Celsius	213	Nutrient Upgraded Rodent Food Bar (NuRFB)	ad libitum
3C4E_Pre-flight_Week 0_Necropsy fecal pellet	BL20	Mus musculus	BALB/c	Taconic Biosciences	Female	30	week	Feces	Basal Control	Launch plus 0	week	On Earth	animal husbandry	12 h light/dark cycle	Standard Vivarium Cage	~28	degree Celsius	213	Nutrient Upgraded Rodent Food Bar (NuRFB)	ad libitum
340E_Pre-flight_Week 0_Fresh Fecal Pellet	GC1-LAR	Mus musculus	BALB/c	Taconic Biosciences	Female	30	week	Feces	Ground Control	Launch plus 0	week	On Earth	animal husbandry	12 h light/dark cycle	Rodent Flight Hardware (Transporter and Habitat) (~30 days) and Standard Vivarium Cage (~30 days)	~28	degree Celsius	215	Nutrient Upgraded Rodent Food Bar (NuRFB)	ad libitum
0646_Pre-flight_Week 0_Fresh Fecal Pellet	GC2-LAR	Mus musculus	BALB/c	Taconic Biosciences	Female	30	week	Feces	Ground Control	Launch plus 0	week	On Earth	animal husbandry	12 h light/dark cycle	Rodent Flight Hardware (Transporter and Habitat) (~30 days) and Standard Vivarium Cage (~30 days)	~28	degree Celsius	215	Nutrient Upgraded Rodent Food Bar (NuRFB)	ad libitum
0B2B_Pre-flight_Week 0_Fresh Fecal Pellet	GC3-LAR	Mus musculus	BALB/c	Taconic Biosciences	Female	30	week	Feces	Ground Control	Launch plus 0	week	On Earth	animal husbandry	12 h light/dark cycle	Rodent Flight Hardware (Transporter and Habitat) (~30 days) and Standard Vivarium Cage (~30 days)	~28	degree Celsius	215	Nutrient Upgraded Rodent Food Bar (NuRFB)	ad libitum
471D_Pre-flight_Week 0_Fresh Fecal Pellet	GC4-LAR	Mus musculus	BALB/c	Taconic Biosciences	Female	30	week	Feces	Ground Control	Launch plus 0	week	On Earth	animal husbandry	12 h light/dark cycle	Rodent Flight Hardware (Transporter and Habitat) (~30 days) and Standard Vivarium Cage (~30 days)	~28	degree Celsius	215	Nutrient Upgraded Rodent Food Bar (NuRFB)	ad libitum
