ASV,Domain,Phylum,Class,Order,Family,Genus,Species,row,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
7807a7c66b7e44dcda14bb67b2e6a4b4,d__Bacteria,p__Bacillota,c__Clostridia,o__Oscillospirales,f__Oscillospiraceae,g__Colidextribacter,NA,7807a7c66b7e44dcda14bb67b2e6a4b4,14.152264582663232,-5.628722000140303,0.5581704306285217,-10.084235371985116,6.486824737950081e-24,3.697490100631546e-22
1ca6c232223e11140a64765c71b31445,d__Bacteria,p__Bacillota,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Incertae_Sedis,NA,1ca6c232223e11140a64765c71b31445,53.39669014096462,-5.581675088170612,0.8290110885204821,-6.732931761060162,1.6627805889284568e-11,1.7232453376167642e-10
6c921e3ae0af506f54295d074ca071bc,d__Bacteria,p__Bacillota,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__A2,NA,6c921e3ae0af506f54295d074ca071bc,97.81788554562685,-5.198668173683017,0.9682785470022748,-5.36898002106702,7.918318981997596e-8,5.641802274673287e-7
e6fc273ffc0f63757954543fa6f7cd2a,d__Bacteria,p__Bacillota,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Lachnospiraceae_NK4A136_group,NA,e6fc273ffc0f63757954543fa6f7cd2a,225.43256836253545,-5.025474022293787,0.8471684378957276,-5.9320836299998465,2.99114190589201e-9,2.4356441233692077e-8
5764a2920b99d13e54f43dd869a800c2,d__Bacteria,p__Bacillota,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Enterocloster,NA,5764a2920b99d13e54f43dd869a800c2,15.58308773865971,-4.634508371924202,0.7226578632466445,-6.413143214277094,1.4254948872909972e-10,1.250049362701336e-9
cc82a5a0b284dea47583c8afa5a99755,d__Bacteria,p__Bacillota,c__Clostridia,o__Oscillospirales,f__Oscillospiraceae,g__Intestinimonas,NA,cc82a5a0b284dea47583c8afa5a99755,75.0186218026897,-4.568162163582992,0.7529689868465224,-6.066866289825188,1.3043005446112811e-9,1.1014093487828597e-8
cfc2296b39729fac462ff6f6cf882e8d,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Tannerellaceae,NA,NA,cfc2296b39729fac462ff6f6cf882e8d,31.47887108935262,-4.543618720981138,1.0381674762483957,-4.376575865582227,1.2055824179390431e-5,5.6096488018388124e-5
1970af775bfecdd2ca50180b69989ee0,d__Bacteria,p__Bacillota,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__GCA-900066575,NA,1970af775bfecdd2ca50180b69989ee0,135.31684710271492,-4.523953646938718,0.6553366908715026,-6.903250970005231,5.082571875433965e-12,5.7941319379947205e-11
91792715e48821417cf5ce4b19768495,d__Bacteria,p__Bacillota,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__[Acetivibrio]_ethanolgignens_group,NA,91792715e48821417cf5ce4b19768495,11.27905967122217,-4.382202206872711,0.5771309865290659,-7.593080789558353,3.1238763712649435e-14,5.935365105403393e-13
54dcb911e3ab04e9d5b30c3912100b41,d__Bacteria,p__Bacillota,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Lachnospiraceae_NK4A136_group.1,NA,54dcb911e3ab04e9d5b30c3912100b41,1080.953083165383,-4.330601227507203,0.755295785278515,-5.7336494018833895,9.829240519111181e-9,7.72781668399086e-8
2dfc021ab6895ae3b4c956d50052f17e,d__Bacteria,p__Bacillota,c__Clostridia,o__Oscillospirales,f__Oscillospiraceae,g__Oscillibacter,NA,2dfc021ab6895ae3b4c956d50052f17e,11.091622885708231,-4.310811838646957,0.5731701641836707,-7.520998314325325,5.435955056673481e-14,9.335771343379081e-13
b84e363885e7b59703e96a0d4c9ee61f,d__Bacteria,p__Bacillota,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Lachnospiraceae_UCG-006,NA,b84e363885e7b59703e96a0d4c9ee61f,13.429716101939604,-4.216912149045196,0.799968469763765,-5.271347944863969,1.3542545709956377e-7,9.35666794506077e-7
d80a7337f5b24c90a8cc2dd4d9896e61,d__Bacteria,p__Bacillota,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Marvinbryantia,NA,d80a7337f5b24c90a8cc2dd4d9896e61,29.35265951914223,-4.20373088827439,0.578287329523414,-7.269277180495768,3.6141613439035937e-13,4.905184958915349e-12
4205d93a032f445a1687829d22eaa2b2,d__Bacteria,p__Bacillota,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Hungatella,NA,4205d93a032f445a1687829d22eaa2b2,25.414572935767566,-4.064983773963963,0.6192839978956578,-6.564005832181806,5.238115143868486e-11,5.192566316530499e-10
0b0e03a032c5cc2b1c3b7af60839de9a,d__Bacteria,p__Bacillota,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,NA.1,NA,0b0e03a032c5cc2b1c3b7af60839de9a,57.09883416722189,-4.016261350619913,0.8410749599009004,-4.775152682102352,1.795709601832294e-6,1.028785108505245e-5
