ASV,Domain,Phylum,Class,Order,Family,Genus,Species,row,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
d80a7337f5b24c90a8cc2dd4d9896e61,d__Bacteria,p__Bacillota,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Marvinbryantia,NA,d80a7337f5b24c90a8cc2dd4d9896e61,29.35265951914223,-6.775511038999534,0.7134744063425746,-9.4965018769661,2.1705952320658702e-21,5.667665328171994e-20
8212472385df0dc1b6527a764d613b7d,d__Bacteria,p__Bacillota,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Acetatifactor,NA,8212472385df0dc1b6527a764d613b7d,43.874943884560764,-6.4697189434181785,0.7752666105033941,-8.34515359718288,7.112138873236013e-17,1.0445953970065394e-15
4205d93a032f445a1687829d22eaa2b2,d__Bacteria,p__Bacillota,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Hungatella,NA,4205d93a032f445a1687829d22eaa2b2,25.414572935767566,-6.201457911240268,0.7296552222897382,-8.499161962795814,1.9096430465364363e-17,2.9917741062404167e-16
8646bffa210e3f061cc57f1b1cf2f751,d__Bacteria,p__Bacillota,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Hungatella.1,NA,8646bffa210e3f061cc57f1b1cf2f751,115.68912766348886,-6.015131378369747,0.7295083293860991,-8.245459491095382,1.6452675794682583e-16,2.2743404775002395e-15
7807a7c66b7e44dcda14bb67b2e6a4b4,d__Bacteria,p__Bacillota,c__Clostridia,o__Oscillospirales,f__Oscillospiraceae,g__Colidextribacter,NA,7807a7c66b7e44dcda14bb67b2e6a4b4,14.152264582663232,-5.619505372420697,0.5579782238281247,-10.071191190700816,7.407542341817608e-24,2.486817786181625e-22
f9f60c2b7142924f5bf6369037234212,d__Bacteria,p__Bacillota,c__Clostridia,o__Oscillospirales,f__Oscillospiraceae,g__Intestinimonas,NA,f9f60c2b7142924f5bf6369037234212,75.01259752424978,-5.401607051523247,0.5752778182729555,-9.389562538217517,6.02499718619362e-21,1.4158743387555007e-19
2dfc021ab6895ae3b4c956d50052f17e,d__Bacteria,p__Bacillota,c__Clostridia,o__Oscillospirales,f__Oscillospiraceae,g__Oscillibacter,NA,2dfc021ab6895ae3b4c956d50052f17e,11.091622885708231,-5.298988334201993,0.6564018925228947,-8.072780402620745,6.871512919305904e-16,7.689550171604226e-15
91792715e48821417cf5ce4b19768495,d__Bacteria,p__Bacillota,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__[Acetivibrio]_ethanolgignens_group,NA,91792715e48821417cf5ce4b19768495,11.27905967122217,-4.9195470214825,0.6195946163798598,-7.939944750046753,2.0227133299096252e-15,2.1606256024034633e-14
1970af775bfecdd2ca50180b69989ee0,d__Bacteria,p__Bacillota,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__GCA-900066575,NA,1970af775bfecdd2ca50180b69989ee0,135.31684710271492,-4.910195352784161,0.6583875064401208,-7.457910887971466,8.790508684028849e-14,8.607373086444915e-13
6c921e3ae0af506f54295d074ca071bc,d__Bacteria,p__Bacillota,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__A2,NA,6c921e3ae0af506f54295d074ca071bc,97.81788554562685,-4.776637069057248,0.9657302898369527,-4.9461398480767365,7.569958457675076e-7,3.7849792288375384e-6
