ASV,Domain,Phylum,Class,Order,Family,Genus,Species,row,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
37a7e187d35366eb6167cbe90e558af1,d__Bacteria,p__Bacillota,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,NA,NA,37a7e187d35366eb6167cbe90e558af1,571.9836972339963,-5.652523869824408,1.0859171749145482,-5.205299262597269,1.9368421719502163e-7,2.7571517977173666e-6
e07164dc4c344fb8e6717042190ef640,d__Bacteria,p__Bacillota,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,NA.1,NA,e07164dc4c344fb8e6717042190ef640,523.0475305040686,-5.602472571463431,1.0491227385795308,-5.340149789383985,9.28698164543658e-8,1.4982997054637683e-6
64ea8a4a546fe172947c0b69c4b44809,d__Bacteria,p__Bacillota,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Incertae_Sedis,NA,64ea8a4a546fe172947c0b69c4b44809,266.7458985903349,-5.111637154920978,0.9942480274207253,-5.141209249548696,2.729758285840351e-7,3.4768500272282366e-6
1aeccc15c16a48616976f501a98a64be,d__Bacteria,p__Bacillota,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,NA.2,NA,1aeccc15c16a48616976f501a98a64be,59.893847709697575,-5.06093331905878,0.8679383349735464,-5.830982588426665,5.510193474668703e-9,1.4006368312288163e-7
103728163337d3c6e1d01f1491bf25dc,d__Bacteria,p__Bacillota,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Acetatifactor,NA,103728163337d3c6e1d01f1491bf25dc,31.16793861663557,-4.929197477339501,0.735333842864413,-6.703346412206935,2.0369978436463353e-11,8.215891302706887e-10
f9f60c2b7142924f5bf6369037234212,d__Bacteria,p__Bacillota,c__Clostridia,o__Oscillospirales,f__Oscillospiraceae,g__Intestinimonas,NA,f9f60c2b7142924f5bf6369037234212,75.01259752424978,-4.525233178729125,0.5762716456406967,-7.85260425870509,4.074858911273037e-15,2.4652896413201873e-13
42e1875ea3a84e3034ce5b2c02406f12,d__Bacteria,p__Bacillota,c__Bacilli,o__Lactobacillales,f__Lactobacillaceae,g__Ligilactobacillus,NA,42e1875ea3a84e3034ce5b2c02406f12,54.53383101103879,-4.48462598146547,0.7955908960904783,-5.636849294659925,1.7318954995953333e-8,3.4926559241839224e-7
f434bb1f62e53ad7aed6f6ffd2ec039c,d__Bacteria,p__Bacillota,c__Bacilli,o__Lactobacillales,f__Lactobacillaceae,g__Ligilactobacillus.1,NA,f434bb1f62e53ad7aed6f6ffd2ec039c,48.11354002401121,-4.33251020366777,0.8216209929533667,-5.27312500632962,1.3412014111914238e-7,2.0285671344270286e-6
d2e0c58f3e2b97c342c9c190ef1763f7,d__Bacteria,p__Bacillota,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Acetatifactor.1,NA,d2e0c58f3e2b97c342c9c190ef1763f7,99.41700890445614,-4.041510526557072,0.6940863639002558,-5.8227775918932485,5.787755500945522e-9,1.4006368312288163e-7
8212472385df0dc1b6527a764d613b7d,d__Bacteria,p__Bacillota,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Acetatifactor.2,NA,8212472385df0dc1b6527a764d613b7d,43.874943884560764,-3.804559708552824,0.7812474431817006,-4.869852364646996,1.116816603784495e-6,1.286998181504037e-5
675df60bfe10a0076c6359d6ce9e3c6f,d__Bacteria,p__Bacillota,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,NA.3,NA,675df60bfe10a0076c6359d6ce9e3c6f,35.530516295441096,-3.220224494401737,0.6735075989282222,-4.781274182394082,1.741875953690023e-6,1.9160635490590255e-5
b37135c79b544a6a22a2b34a990f9b95,d__Bacteria,p__Bacillota,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Lachnospiraceae_NK4A136_group,NA,b37135c79b544a6a22a2b34a990f9b95,22.230395529638947,-2.940720533414587,0.7029599503033156,-4.18334007811642,2.8725718400538334e-5,2.770834825525457e-4
97d033725a3fcb0e6b0f9554365d4e0f,d__Bacteria,p__Bacillota,c__Bacilli,o__Erysipelotrichales,f__Erysipelotrichaceae,g__Incertae_Sedis.1,NA,97d033725a3fcb0e6b0f9554365d4e0f,7.245223733845275,-2.772220226871603,0.5484921156819035,-5.054257203724957,4.3206901797487426e-7,5.2280351174959784e-6
0f276b28ea3ba352f6fd667c1e298c38,d__Bacteria,p__Bacillota,c__Clostridia,o__Clostridia_UCG-014,f__Incertae_Sedis,g__Incertae_Sedis.2,NA,0f276b28ea3ba352f6fd667c1e298c38,68.6848182590869,-2.7588129770585326,0.8073108913798267,-3.4172869541537696,6.324857550394708e-4,0.0043731872205586275
8646bffa210e3f061cc57f1b1cf2f751,d__Bacteria,p__Bacillota,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Hungatella,NA,8646bffa210e3f061cc57f1b1cf2f751,115.68912766348886,-2.6381382404844977,0.733210400156656,-3.598064402688286,3.2059424254053757e-4,0.0025027034417680677
d80a7337f5b24c90a8cc2dd4d9896e61,d__Bacteria,p__Bacillota,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Marvinbryantia,NA,d80a7337f5b24c90a8cc2dd4d9896e61,29.35265951914223,-2.571780150725144,0.7367692504442003,-3.490618194468092,4.819043995398395e-4,0.0034317908645715013
d2d480b667c0d25176b7ad8e933c0ae7,d__Bacteria,p__Bacillota,c__Bacilli,o__Erysipelotrichales,f__Erysipelatoclostridiaceae,g__Massiliomicrobiota,NA,d2d480b667c0d25176b7ad8e933c0ae7,9.419618500001222,-2.5427259857653337,0.7284744434071082,-3.49048070083679,4.821524355183101e-4,0.0034317908645715013
885af48524af5ccac2ffcff5abf6c1f9,d__Bacteria,p__Bacillota,c__Clostridia,o__Oscillospirales,f__Oscillospiraceae,g__Incertae_Sedis.3,NA,885af48524af5ccac2ffcff5abf6c1f9,32.38798743022181,-2.4138649879459617,0.7873366907293261,-3.0658611701557428,0.002170440669275498,0.011937423681015238
