ASV,Domain,Phylum,Class,Order,Family,Genus,Species,row,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
85b3a528cad6b1fe3ee69fb688c4039a,d__Bacteria,p__Verrucomicrobiota,c__Verrucomicrobiia,o__Verrucomicrobiales,f__Akkermansiaceae,g__Akkermansia,NA,85b3a528cad6b1fe3ee69fb688c4039a,8.041171872105688,-2.597129200681716,0.7590811940746278,-3.421411597276883,6.229697390643808e-4,0.020246516519592375
e5ee1d85ad16f8c94333754ffe9430ff,d__Bacteria,p__Bacillota,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,NA,NA,e5ee1d85ad16f8c94333754ffe9430ff,15.745463694553315,2.035940336030316,0.6334460873136698,3.214070426521017,0.0013086757068010706,0.025519176282620876
86555947ddfc576c1bb9c42deb3998df,d__Bacteria,p__Bacillota,c__Clostridia,o__Oscillospirales,f__Oscillospiraceae,NA.1,NA,86555947ddfc576c1bb9c42deb3998df,27.854923911504287,2.0912369180616674,0.6430169988974992,3.252226491130483,0.0011450473886971885,0.024809360088439085
47f770032218f91b352999ff1f663807,d__Bacteria,p__Bacillota,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,NA.2,NA,47f770032218f91b352999ff1f663807,28.28415042989318,2.3069810910152744,0.7620230876525269,3.02744251243373,0.0024663262060369497,0.036994893090554246
b1afd2ca3861c635eba188c1ce960692,d__Bacteria,p__Bacillota,c__Clostridia,o__Peptostreptococcales-Tissierellales,f__Anaerovoracaceae,g__[Eubacterium]_brachy_group,NA,b1afd2ca3861c635eba188c1ce960692,10.918076955623906,2.3304907007292552,0.5006605523125295,4.654831881530948,3.2424516489522508e-6,6.322780715456889e-4
5eaeab6fa2a8efe96eac7a0712c65080,d__Bacteria,p__Bacillota,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Incertae_Sedis,NA,5eaeab6fa2a8efe96eac7a0712c65080,32.009354173365914,2.337855478995047,0.5888473174471335,3.9702235362648803,7.180523188164815e-5,0.00466734007230713
3120660c883750285d85c12f7d898f67,d__Bacteria,p__Bacillota,c__Clostridia,o__Oscillospirales,f__Oscillospiraceae,g__Oscillibacter,NA,3120660c883750285d85c12f7d898f67,3.3879265117179758,2.428636237537602,0.7326439475797398,3.314892923855449,9.167823456028795e-4,0.02234656967407019
bf8b632bb810c7e26b5a8902838e05ff,d__Bacteria,p__Bacillota,c__Clostridia,o__Clostridia_UCG-014,f__Incertae_Sedis,g__Incertae_Sedis.1,NA,bf8b632bb810c7e26b5a8902838e05ff,18.982377611902763,2.697769979135773,0.9017172242888056,2.991813737686484,0.002773254123491076,0.0386274681486257
7a80eb794179e899066579742bc71f18,d__Bacteria,p__Bacillota,c__Clostridia,o__Oscillospirales,f__Ruminococcaceae,g__Incertae_Sedis.2,NA,7a80eb794179e899066579742bc71f18,6.840627627574426,2.7408893698855596,0.6628848140172077,4.134789803488257,3.552796642899165e-5,0.0034639767268266858
6326f3883ecfa02452ebaa3af9c5d84c,d__Bacteria,p__Bacillota,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,NA.3,NA,6326f3883ecfa02452ebaa3af9c5d84c,11.608589041525526,2.9837888439319857,0.8829940909035142,3.3791719272762695,7.270452511373484e-4,0.02025340342454042
