ASV,Domain,Phylum,Class,Order,Family,Genus,Species,row,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
f9f60c2b7142924f5bf6369037234212,d__Bacteria,p__Bacillota,c__Clostridia,o__Oscillospirales,f__Oscillospiraceae,g__Intestinimonas,NA,f9f60c2b7142924f5bf6369037234212,75.01259752424978,-7.432416408458384,0.6977227487440254,-10.652392260159953,1.699407592608768e-26,9.984019606576512e-25
d80a7337f5b24c90a8cc2dd4d9896e61,d__Bacteria,p__Bacillota,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Marvinbryantia,NA,d80a7337f5b24c90a8cc2dd4d9896e61,29.35265951914223,-6.724128086024821,0.7133222347073328,-9.426494449291416,4.240236444492318e-21,1.1071728493952165e-19
1970af775bfecdd2ca50180b69989ee0,d__Bacteria,p__Bacillota,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__GCA-900066575,NA,1970af775bfecdd2ca50180b69989ee0,135.31684710271492,-6.451202604788022,0.681700909080504,-9.463391523842285,2.981136976647476e-21,8.75708986890196e-20
4205d93a032f445a1687829d22eaa2b2,d__Bacteria,p__Bacillota,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Hungatella,NA,4205d93a032f445a1687829d22eaa2b2,25.414572935767566,-6.15329490415719,0.7292048570463472,-8.438362477563826,3.218143023668532e-17,6.302196754684208e-16
8646bffa210e3f061cc57f1b1cf2f751,d__Bacteria,p__Bacillota,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Hungatella.1,NA,8646bffa210e3f061cc57f1b1cf2f751,115.68912766348886,-6.065971903894685,0.730911856818894,-8.299183885585421,1.0482900635513167e-16,1.8949858841119955e-15
8212472385df0dc1b6527a764d613b7d,d__Bacteria,p__Bacillota,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Acetatifactor,NA,8212472385df0dc1b6527a764d613b7d,43.874943884560764,-5.995384532521906,0.7513872322327309,-7.979087580057424,1.4741895022188414e-15,1.8233396474811986e-14
cfc2296b39729fac462ff6f6cf882e8d,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Tannerellaceae,NA,NA,cfc2296b39729fac462ff6f6cf882e8d,31.47887108935262,-5.799947368806135,1.0705816406034625,-5.417566628115196,6.041563844517212e-8,3.462847569418402e-7
7807a7c66b7e44dcda14bb67b2e6a4b4,d__Bacteria,p__Bacillota,c__Clostridia,o__Oscillospirales,f__Oscillospiraceae,g__Colidextribacter,NA,7807a7c66b7e44dcda14bb67b2e6a4b4,14.152264582663232,-5.568289131494775,0.5579430306892296,-9.980031697172096,1.864072241157368e-23,7.300949611199691e-22
6c921e3ae0af506f54295d074ca071bc,d__Bacteria,p__Bacillota,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__A2,NA,6c921e3ae0af506f54295d074ca071bc,97.81788554562685,-5.444225303330526,0.9705101131172634,-5.609653345954077,2.0273229082110258e-8,1.401237892439974e-7
2dfc021ab6895ae3b4c956d50052f17e,d__Bacteria,p__Bacillota,c__Clostridia,o__Oscillospirales,f__Oscillospiraceae,g__Oscillibacter,NA,2dfc021ab6895ae3b4c956d50052f17e,11.091622885708231,-5.247006575366508,0.6562388371986738,-7.995574595622411,1.2897096322637311e-15,1.6837875754554267e-14
91792715e48821417cf5ce4b19768495,d__Bacteria,p__Bacillota,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__[Acetivibrio]_ethanolgignens_group,NA,91792715e48821417cf5ce4b19768495,11.27905967122217,-4.870858107199729,0.6194012279963927,-7.863817323959351,3.726008047152571e-15,4.3780594554042716e-14
5764a2920b99d13e54f43dd869a800c2,d__Bacteria,p__Bacillota,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Enterocloster,NA,5764a2920b99d13e54f43dd869a800c2,15.58308773865971,-4.698159187845222,0.7287751133352361,-6.4466515141332374,1.1434829830598194e-10,9.597089322109198e-10
b8455681fc92d051fdd023aa62417fb3,d__Bacteria,p__Bacillota,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Butyribacter,NA,b8455681fc92d051fdd023aa62417fb3,42.931843492929,-4.571388006178111,0.908182515618668,-5.033556501651004,4.814628222972974e-7,2.3090563926503043e-6
33db715225edf6ee33a8e8bbb7a48728,d__Bacteria,p__Bacillota,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,NA.1,NA,33db715225edf6ee33a8e8bbb7a48728,50.22959450214663,-4.369166255389215,0.851663957012625,-5.130152825434701,2.895070403759189e-7,1.4790033584421945e-6
e07164dc4c344fb8e6717042190ef640,d__Bacteria,p__Bacillota,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,NA.2,NA,e07164dc4c344fb8e6717042190ef640,523.0475305040686,-4.361963200354073,1.0505834281739437,-4.15194365661731,3.296634346088606e-5,1.0759848212928088e-4
0b0e03a032c5cc2b1c3b7af60839de9a,d__Bacteria,p__Bacillota,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,NA.3,NA,0b0e03a032c5cc2b1c3b7af60839de9a,57.09883416722189,-4.173905627377677,0.8434290484907475,-4.948733547708092,7.469792215768594e-7,3.3757714821261914e-6
f0d4d3a6d12291a52f75c0e2657afec4,d__Bacteria,p__Bacillota,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__ASF356,NA,f0d4d3a6d12291a52f75c0e2657afec4,9.91382762984152,-4.0681148968001,0.7368086425334365,-5.5212638152727544,3.365699985022735e-8,2.2598271328009792e-7
47f770032218f91b352999ff1f663807,d__Bacteria,p__Bacillota,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,NA.4,NA,47f770032218f91b352999ff1f663807,28.28415042989318,-4.022611188734496,0.7549628054718658,-5.328224330495711,9.917758264013661e-8,5.296984527370932e-7
1ca6c232223e11140a64765c71b31445,d__Bacteria,p__Bacillota,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Incertae_Sedis,NA,1ca6c232223e11140a64765c71b31445,53.39669014096462,-4.004110252875924,0.7993378254694057,-5.009284091522301,5.463287804476339e-7,2.51739732167047e-6
64ea8a4a546fe172947c0b69c4b44809,d__Bacteria,p__Bacillota,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Incertae_Sedis.1,NA,64ea8a4a546fe172947c0b69c4b44809,266.7458985903349,-3.913115151855371,0.9964232717480477,-3.9271615414908014,8.595425305220712e-5,2.6232791515933343e-4
4b3fc5de9758cf6cdb010bd41d101a65,d__Bacteria,p__Bacillota,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,NA.5,NA,4b3fc5de9758cf6cdb010bd41d101a65,126.51712146119569,-3.8812056010037708,0.7969512475663043,-4.870066535256743,1.1156067683003246e-6,4.681564116974576e-6
e6fc273ffc0f63757954543fa6f7cd2a,d__Bacteria,p__Bacillota,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Lachnospiraceae_NK4A136_group,NA,e6fc273ffc0f63757954543fa6f7cd2a,225.43256836253545,-3.8689209782736667,0.8438087116471734,-4.58506877787652,4.538370181627388e-6,1.640795373357594e-5
83db0ce4368f169ef71342064440d682,d__Bacteria,p__Bacillota,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Incertae_Sedis.2,NA,83db0ce4368f169ef71342064440d682,358.2330621661251,-3.853581372715721,0.8274523218288382,-4.657164251105757,3.205946634577985e-6,1.2151571921384298e-5
1aeccc15c16a48616976f501a98a64be,d__Bacteria,p__Bacillota,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,NA.6,NA,1aeccc15c16a48616976f501a98a64be,59.893847709697575,-3.8525327706293018,0.8589289628371408,-4.485275194241844,7.281988743738664e-6,2.5165696393802735e-5
851bd80d021dcf4e9f3f11e95310927c,d__Bacteria,p__Bacillota,c__Clostridia,o__Oscillospirales,f__Oscillospiraceae,g__Incertae_Sedis.3,NA,851bd80d021dcf4e9f3f11e95310927c,17.212656365391958,-3.7896185640336877,0.6586946965178415,-5.75322464878999,8.75570086116726e-9,6.23512031022517e-8
54dcb911e3ab04e9d5b30c3912100b41,d__Bacteria,p__Bacillota,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Lachnospiraceae_NK4A136_group.1,NA,54dcb911e3ab04e9d5b30c3912100b41,1080.953083165383,-3.7860188505168604,0.7550536696825445,-5.014238063512304,5.324403105048853e-7,2.502469459372961e-6
3d1c3592da50be05da2bef377739832c,d__Bacteria,p__Bacillota,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__A2.1,NA,3d1c3592da50be05da2bef377739832c,209.07548946627094,-3.765712031554773,0.6391532149933118,-5.891720393824786,3.8219547687782124e-9,2.8067480333215e-8
6aaac37f56d07ffcea4fe9ef1cd00d2f,d__Bacteria,p__Bacillota,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Incertae_Sedis.4,NA,6aaac37f56d07ffcea4fe9ef1cd00d2f,1029.6685697209678,-3.7613981033829362,0.7636429329377814,-4.925598000249417,8.410274586276088e-7,3.6411707755620122e-6
b84e363885e7b59703e96a0d4c9ee61f,d__Bacteria,p__Bacillota,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Lachnospiraceae_UCG-006,NA,b84e363885e7b59703e96a0d4c9ee61f,13.429716101939604,-3.712492844569829,0.778911535131587,-4.766257369577473,1.8767949416311367e-6,7.350780188055285e-6
675df60bfe10a0076c6359d6ce9e3c6f,d__Bacteria,p__Bacillota,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,NA.7,NA,675df60bfe10a0076c6359d6ce9e3c6f,35.530516295441096,-3.7067468675679214,0.6754871579579514,-5.487516415224971,4.0762414767959944e-8,2.5208335448606807e-7
f3e9d78daeea42d345080748e31ae3dd,d__Bacteria,p__Bacillota,c__Clostridia,o__Oscillospirales,f__Oscillospiraceae,g__Colidextribacter.1,NA,f3e9d78daeea42d345080748e31ae3dd,4.671891840552843,-3.6683668905143234,0.5814220492866815,-6.309301298454135,2.802979733040819e-10,2.271380128498595e-9
d2d480b667c0d25176b7ad8e933c0ae7,d__Bacteria,p__Bacillota,c__Bacilli,o__Erysipelotrichales,f__Erysipelatoclostridiaceae,g__Massiliomicrobiota,NA,d2d480b667c0d25176b7ad8e933c0ae7,9.419618500001222,-3.5327775260386916,0.7366752761035291,-4.795569555048038,1.6221327096595251e-6,6.461037063898109e-6
601101d33cdf43a40bd674a50711af52,d__Bacteria,p__Bacillota,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Roseburia,NA,601101d33cdf43a40bd674a50711af52,69.74550243132737,-3.458061701727958,0.6608172024857397,-5.23300799180176,1.667735258512625e-7,8.709284127788153e-7
37a7e187d35366eb6167cbe90e558af1,d__Bacteria,p__Bacillota,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,NA.8,NA,37a7e187d35366eb6167cbe90e558af1,571.9836972339963,-3.428906173944668,1.0829753545033778,-3.1661904028435335,0.0015444966018477036,0.003861241504619259
da8644094f1d480f3b3a6a03a7027ab4,d__Bacteria,p__Bacillota,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Hungatella.2,NA,da8644094f1d480f3b3a6a03a7027ab4,22.059238950533366,-3.3117190815600064,0.7315323621573131,-4.5270985302600115,5.979906243881381e-6,2.129209041382007e-5
5331f57ab0f2e416cce5e856ca82bc07,d__Bacteria,p__Bacillota,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__GCA-900066575.1,NA,5331f57ab0f2e416cce5e856ca82bc07,7.7146329816964,-3.191384226858572,0.7803917777854404,-4.089464186712646,4.3237081716742544e-5,1.3918786580047258e-4
836bfc88bc7799209a2398d0ee5fc221,d__Bacteria,p__Bacillota,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Butyribacter.1,NA,836bfc88bc7799209a2398d0ee5fc221,12.336078375758117,-3.179437353378166,0.7427643481908297,-4.280546530164518,1.864349010455138e-5,6.25888596367082e-5
975e80e15eee8e00f49bdf8e8df3b94d,d__Bacteria,p__Bacillota,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,NA.9,NA,975e80e15eee8e00f49bdf8e8df3b94d,7.465594706563187,-3.1222769400668966,0.7224336794351504,-4.32188729421933,1.5470021134787916e-5,5.2687753140219717e-5
57e11c3559fa2ef79a2702684229e4ba,d__Bacteria,p__Bacillota,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Acetatifactor.1,NA,57e11c3559fa2ef79a2702684229e4ba,16.37570301863687,-3.1097836460746815,0.8076675841765524,-3.850326182454411,1.1796062105022035e-4,3.508955183139466e-4
d7ef89fbe0b04fbcfcd1261bbba40170,d__Bacteria,p__Bacillota,c__Clostridia,o__Oscillospirales,f__Ruminococcaceae,g__Acutalibacter,NA,d7ef89fbe0b04fbcfcd1261bbba40170,81.97276450351474,-3.1018785401347473,0.567687666462728,-5.464058360581635,4.6537042648449145e-8,2.8041551339450125e-7
52573485a4521e007e4c5217fc5d7c68,d__Bacteria,p__Bacillota,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Lachnospiraceae_UCG-010,NA,52573485a4521e007e4c5217fc5d7c68,35.229270418694476,-3.0581120489891904,0.7859281110043581,-3.8910836833169755,9.979750391175841e-5,3.006719669136311e-4
b37135c79b544a6a22a2b34a990f9b95,d__Bacteria,p__Bacillota,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Lachnospiraceae_NK4A136_group.2,NA,b37135c79b544a6a22a2b34a990f9b95,22.230395529638947,-3.012367724119623,0.7504345605137404,-4.0141644356802875,5.965674803731287e-5,1.894504836320071e-4
97d033725a3fcb0e6b0f9554365d4e0f,d__Bacteria,p__Bacillota,c__Bacilli,o__Erysipelotrichales,f__Erysipelotrichaceae,g__Incertae_Sedis.5,NA,97d033725a3fcb0e6b0f9554365d4e0f,7.245223733845275,-2.9868536445612346,0.6424963764816115,-4.648825664850609,3.338302160573364e-6,1.2452396948170484e-5
16ab22f35a1bcdd8e429997d075d9666,d__Bacteria,p__Bacillota,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Blautia,NA,16ab22f35a1bcdd8e429997d075d9666,4.437633433398643,-2.9202375925978896,0.6861453856235201,-4.256004126507658,2.0811286672130456e-5,6.888242771761489e-5
5149bdbf03de13bb38557d48d5141b87,d__Bacteria,p__Bacillota,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Lachnoclostridium,NA,5149bdbf03de13bb38557d48d5141b87,3.4218960835289516,-2.885952365386447,0.6252074225990305,-4.615991846976709,3.9122230549523e-6,1.4365194029902976e-5
5eaeab6fa2a8efe96eac7a0712c65080,d__Bacteria,p__Bacillota,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Incertae_Sedis.6,NA,5eaeab6fa2a8efe96eac7a0712c65080,32.009354173365914,-2.7933073349327993,0.5875237814655505,-4.754373223778321,1.9906300554702044e-6,7.668820705499967e-6
894edb6bbf0dd7821500a154a87530c2,d__Bacteria,p__Bacillota,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Lachnospiraceae_NK4A136_group.3,NA,894edb6bbf0dd7821500a154a87530c2,19.563384718482137,-2.7615624333618496,0.7849697591496393,-3.518049454992331,4.347313360023301e-4,0.001201904281888795
223141ee97781bbede60bb494d599448,d__Bacteria,p__Bacillota,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__[Eubacterium]_xylanophilum_group,NA,223141ee97781bbede60bb494d599448,23.814733801953984,-2.700338648612867,0.7589966413310363,-3.5577741739111524,3.7401063734936906e-4,0.0010718597533792894
b1afd2ca3861c635eba188c1ce960692,d__Bacteria,p__Bacillota,c__Clostridia,o__Peptostreptococcales-Tissierellales,f__Anaerovoracaceae,g__[Eubacterium]_brachy_group,NA,b1afd2ca3861c635eba188c1ce960692,10.918076955623906,-2.6729948551442435,0.49704131586607986,-5.377812205584215,7.53963975787489e-8,4.12050079790837e-7
6326f3883ecfa02452ebaa3af9c5d84c,d__Bacteria,p__Bacillota,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,NA.10,NA,6326f3883ecfa02452ebaa3af9c5d84c,11.608589041525526,-2.543195470402418,0.8897487563981499,-2.858329896068294,0.004258773767626738,0.009909028073190924
cc82a5a0b284dea47583c8afa5a99755,d__Bacteria,p__Bacillota,c__Clostridia,o__Oscillospirales,f__Oscillospiraceae,g__Intestinimonas.1,NA,cc82a5a0b284dea47583c8afa5a99755,75.0186218026897,-2.508561194888314,0.7392357106534513,-3.393452397843251,6.901755265420861e-4,0.0018021249859710025
75becb2d36234aba744a63a5352d7bcf,d__Bacteria,p__Bacillota,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,NA.11,NA,75becb2d36234aba744a63a5352d7bcf,43.32908703199332,-2.4108747081017055,0.7255128766298029,-3.322993685929944,8.905693023549098e-4,0.0022998218247626792
b310236a69032ef47e5c274f5256115a,d__Bacteria,p__Bacillota,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Lachnospiraceae_NK4A136_group.4,NA,b310236a69032ef47e5c274f5256115a,123.90680259120089,-2.339024152574111,0.8838508289504089,-2.6464014921519623,0.008135319580868515,0.017867290668262627
0f276b28ea3ba352f6fd667c1e298c38,d__Bacteria,p__Bacillota,c__Clostridia,o__Clostridia_UCG-014,f__Incertae_Sedis,g__Incertae_Sedis.7,NA,0f276b28ea3ba352f6fd667c1e298c38,68.6848182590869,-2.3386158663268874,0.8071471052767312,-2.897384938926456,0.0037628773850110434,0.009002639056242105
