ASV,Domain,Phylum,Class,Order,Family,Genus,Species,row,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
f9f60c2b7142924f5bf6369037234212,d__Bacteria,p__Bacillota,c__Clostridia,o__Oscillospirales,f__Oscillospiraceae,g__Intestinimonas,NA,f9f60c2b7142924f5bf6369037234212,75.01259752424978,-6.556042535664263,0.6984778311003423,-9.386185564882203,6.2212546216277746e-21,4.87331612027509e-19
f434bb1f62e53ad7aed6f6ffd2ec039c,d__Bacteria,p__Bacillota,c__Bacilli,o__Lactobacillales,f__Lactobacillaceae,g__Ligilactobacillus,NA,f434bb1f62e53ad7aed6f6ffd2ec039c,48.11354002401121,-5.956254410041164,0.8674798672666653,-6.8661586681068165,6.595371548678375e-12,1.72212479326602e-10
42e1875ea3a84e3034ce5b2c02406f12,d__Bacteria,p__Bacillota,c__Bacilli,o__Lactobacillales,f__Lactobacillaceae,g__Ligilactobacillus.1,NA,42e1875ea3a84e3034ce5b2c02406f12,54.53383101103879,-5.902239096566914,0.83889704859898,-7.035713269493664,1.9824423592972705e-12,7.764565907247642e-11
e07164dc4c344fb8e6717042190ef640,d__Bacteria,p__Bacillota,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,NA,NA,e07164dc4c344fb8e6717042190ef640,523.0475305040686,-5.718826732701639,1.049721940813989,-5.447944365406968,5.095529026886356e-8,7.98299547545529e-7
64ea8a4a546fe172947c0b69c4b44809,d__Bacteria,p__Bacillota,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Incertae_Sedis,NA,64ea8a4a546fe172947c0b69c4b44809,266.7458985903349,-5.251075933794421,0.9951839758520801,-5.276487625615586,1.3168340076206204e-7,1.8203293634755635e-6
37a7e187d35366eb6167cbe90e558af1,d__Bacteria,p__Bacillota,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,NA.1,NA,37a7e187d35366eb6167cbe90e558af1,571.9836972339963,-4.855446943065887,1.0826829693224056,-4.48464331724425,7.303600322668849e-6,7.462374242726868e-5
1aeccc15c16a48616976f501a98a64be,d__Bacteria,p__Bacillota,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,NA.2,NA,1aeccc15c16a48616976f501a98a64be,59.893847709697575,-4.428569865751254,0.8573056868102069,-5.165683529090675,2.395618314771839e-7,3.1276127998410117e-6
103728163337d3c6e1d01f1491bf25dc,d__Bacteria,p__Bacillota,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Acetatifactor,NA,103728163337d3c6e1d01f1491bf25dc,31.16793861663557,-4.425429976193192,0.7207783496583855,-6.1397931531803565,8.262900365552937e-10,1.9417815859049403e-8
b37135c79b544a6a22a2b34a990f9b95,d__Bacteria,p__Bacillota,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Lachnospiraceae_NK4A136_group,NA,b37135c79b544a6a22a2b34a990f9b95,22.230395529638947,-4.3492672021399414,0.7453658243907786,-5.835077300055708,5.3765634883206115e-9,9.71917245965649e-8
d2e0c58f3e2b97c342c9c190ef1763f7,d__Bacteria,p__Bacillota,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Acetatifactor.1,NA,d2e0c58f3e2b97c342c9c190ef1763f7,99.41700890445614,-4.236754640627236,0.6959174717412474,-6.088013036986267,1.1432056474374599e-9,2.442302974070937e-8
