ASV,Domain,Phylum,Class,Order,Family,Genus,Species,row,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,comparison
b8455681fc92d051fdd023aa62417fb3,d__Bacteria,p__Bacillota,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Butyribacter,NA,b8455681fc92d051fdd023aa62417fb3,48.44649391121534,-6.568009267830375,1.0717213727940615,-6.1284671879847465,8.872972228715702e-10,3.0907519930026364e-8,F-LAR-Fresh vs GC-LAR-Fresh
2e49c6a75226cedcef77d5d47a881896,d__Bacteria,p__Bacillota,c__Bacilli,o__Staphylococcales,f__Staphylococcaceae,g__Staphylococcus,NA,2e49c6a75226cedcef77d5d47a881896,21.922803555815968,-5.405444780605236,0.7608733134834491,-7.104263856827747,1.2096555780330835e-12,8.427267193630482e-11,F-LAR-Fresh vs GC-LAR-Fresh
08faf2041b38f0c8f2faa68e7d5edd31,d__Bacteria,p__Bacillota,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,NA,NA,08faf2041b38f0c8f2faa68e7d5edd31,13.259539582641121,-4.657192355404512,0.8825552602331932,-5.276941360220283,1.313578970155308e-7,2.7453800476245934e-6,F-LAR-Fresh vs GC-LAR-Fresh
68a313a4c8c35a8f1fb6d4e6f2a39a7a,d__Bacteria,p__Bacillota,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,NA.1,NA,68a313a4c8c35a8f1fb6d4e6f2a39a7a,7.39118786371614,-3.769062709549745,0.8717066400524551,-4.323774233637753,1.5338226477643054e-5,2.4659148721749215e-4,F-LAR-Fresh vs GC-LAR-Fresh
7215e6796de3e835c8879da79b1b708d,d__Bacteria,p__Bacillota,c__Clostridia,o__Oscillospirales,f__Oscillospiraceae,g__NK4A214_group,NA,7215e6796de3e835c8879da79b1b708d,7.369307240733201,-3.7627649342657765,0.8326764763182006,-4.518879830619673,6.216766517726107e-6,1.082753501837297e-4,F-LAR-Fresh vs GC-LAR-Fresh
836bfc88bc7799209a2398d0ee5fc221,d__Bacteria,p__Bacillota,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Butyribacter.1,NA,836bfc88bc7799209a2398d0ee5fc221,6.515769315655209,-3.5734266877449388,0.9866082499980044,-3.6219306779080416,2.924124891452177e-4,0.0032165373805973945,F-LAR-Fresh vs GC-LAR-Fresh
50ed67c6c21f5e4f38c9b9266a21d891,d__Bacteria,p__Bacillota,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Incertae_Sedis,NA,50ed67c6c21f5e4f38c9b9266a21d891,6.115769315655209,-3.4745479939823523,0.9012676436518059,-3.855178889928842,1.1564503398220868e-4,0.001510613256392601,F-LAR-Fresh vs GC-LAR-Fresh
50313555c1a4385e25c85b06a5c8ad42,d__Bacteria,p__Bacillota,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Faecalimonas,NA,50313555c1a4385e25c85b06a5c8ad42,23.38659515167796,-3.057899602102033,0.835371547666654,-3.660526397676947,2.5169761983365353e-4,0.003094400149719623,F-LAR-Fresh vs GC-LAR-Fresh
0f276b28ea3ba352f6fd667c1e298c38,d__Bacteria,p__Bacillota,c__Clostridia,o__Clostridia_UCG-014,f__Incertae_Sedis,g__Incertae_Sedis.1,NA,0f276b28ea3ba352f6fd667c1e298c38,128.31812121148147,-2.9352405623484774,0.8685843785442665,-3.3793384210615134,7.266050467414597e-4,0.007231450227093575,F-LAR-Fresh vs GC-LAR-Fresh
885af48524af5ccac2ffcff5abf6c1f9,d__Bacteria,p__Bacillota,c__Clostridia,o__Oscillospirales,f__Oscillospiraceae,g__Incertae_Sedis.2,NA,885af48524af5ccac2ffcff5abf6c1f9,96.01718359615464,-2.9052265591051665,0.8364054219697825,-3.473466913047015,5.137807060260209e-4,0.005369008377971917,F-LAR-Fresh vs GC-LAR-Fresh
73cd1c10175eb846badd2f34bd86dd08,d__Bacteria,p__Bacillota,c__Clostridia,o__Oscillospirales,f__Oscillospiraceae,g__Intestinimonas,NA,73cd1c10175eb846badd2f34bd86dd08,3.615769315655209,-2.625400681291293,0.8104566968082096,-3.239408955013645,0.001197776995393063,0.010884147479876094,F-LAR-Fresh vs GC-LAR-Fresh
f9f60c2b7142924f5bf6369037234212,d__Bacteria,p__Bacillota,c__Clostridia,o__Oscillospirales,f__Oscillospiraceae,g__Intestinimonas.1,NA,f9f60c2b7142924f5bf6369037234212,29.312191460817566,-2.498592107301844,0.9039796194688324,-2.763991635972929,0.005709900289924396,0.03849577937400641,F-LAR-Fresh vs GC-LAR-Fresh
91792715e48821417cf5ce4b19768495,d__Bacteria,p__Bacillota,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__[Acetivibrio]_ethanolgignens_group,NA,91792715e48821417cf5ce4b19768495,3.015769315655209,-2.3171608240395454,0.7813136235161722,-2.9657243318138344,0.003019710261734463,0.024991734174474648,F-LAR-Fresh vs GC-LAR-Fresh
7807a7c66b7e44dcda14bb67b2e6a4b4,d__Bacteria,p__Bacillota,c__Clostridia,o__Oscillospirales,f__Oscillospiraceae,g__Colidextribacter,NA,7807a7c66b7e44dcda14bb67b2e6a4b4,2.965769315655209,-2.2877974447403426,0.8068278512622176,-2.835545948446458,0.004574743386435856,0.03296970233672737,F-LAR-Fresh vs GC-LAR-Fresh
2cf0267a31dc6f1b8ee65c913b8f6e4d,d__Bacteria,p__Bacillota,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Incertae_Sedis.3,NA,2cf0267a31dc6f1b8ee65c913b8f6e4d,2.5767785428061907,-2.029243120268316,0.7453170204065092,-2.7226576942540914,0.0064759118669998825,0.04229579938134298,F-LAR-Fresh vs GC-LAR-Fresh
99deb3c5ecb022ec05609ebd1112a557,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Bacteroides,NA,99deb3c5ecb022ec05609ebd1112a557,2.558475774660896,-2.019616103083643,0.7180141082405167,-2.812780528829278,0.004911516099045026,0.03421689549001368,F-LAR-Fresh vs GC-LAR-Fresh
d56101b838ca3442c9b0a8c0a926b70d,d__Bacteria,p__Bacillota,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,NA.2,NA,d56101b838ca3442c9b0a8c0a926b70d,3.265769315655209,2.4358924842586474,0.8271026297929267,2.9450909675725456,0.003228597237850792,0.024991734174474648,F-LAR-Fresh vs GC-LAR-Fresh
da8644094f1d480f3b3a6a03a7027ab4,d__Bacteria,p__Bacillota,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Hungatella,NA,da8644094f1d480f3b3a6a03a7027ab4,9.115769315655209,2.5085538637041265,0.8556550454713189,2.9317350221692955,0.0033707421204342046,0.02516018225609817,F-LAR-Fresh vs GC-LAR-Fresh
