ASV,Domain,Phylum,Class,Order,Family,Genus,Species,row,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,comparison
b8455681fc92d051fdd023aa62417fb3,d__Bacteria,p__Bacillota,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Butyribacter,NA,b8455681fc92d051fdd023aa62417fb3,24.4,-5.5789329293221535,1.0181911531317747,-5.479258891773268,4.271110296526421e-8,9.739724215533733e-7,F-LAR-Necropsy vs GC-LAR-Necropsy
2e49c6a75226cedcef77d5d47a881896,d__Bacteria,p__Bacillota,c__Bacilli,o__Staphylococcales,f__Staphylococcaceae,g__Staphylococcus,NA,2e49c6a75226cedcef77d5d47a881896,23.7,-5.536048645375788,0.8767514787261093,-6.314273519583317,2.7143350472465273e-10,8.912066738459432e-9,F-LAR-Necropsy vs GC-LAR-Necropsy
885af48524af5ccac2ffcff5abf6c1f9,d__Bacteria,p__Bacillota,c__Clostridia,o__Oscillospirales,f__Oscillospiraceae,g__Incertae_Sedis,NA,885af48524af5ccac2ffcff5abf6c1f9,43.3,-5.261665688974603,0.6418747916242179,-8.19733966442324,2.4576528241220467e-16,2.371798858733312e-14,F-LAR-Necropsy vs GC-LAR-Necropsy
f9f60c2b7142924f5bf6369037234212,d__Bacteria,p__Bacillota,c__Clostridia,o__Oscillospirales,f__Oscillospiraceae,g__Intestinimonas,NA,f9f60c2b7142924f5bf6369037234212,13.25,-4.672421999372843,0.8538768719036073,-5.472009083647255,4.4496201999900303e-08,9.739724215533733e-7,F-LAR-Necropsy vs GC-LAR-Necropsy
42e1875ea3a84e3034ce5b2c02406f12,d__Bacteria,p__Bacillota,c__Bacilli,o__Lactobacillales,f__Lactobacillaceae,g__Ligilactobacillus,NA,42e1875ea3a84e3034ce5b2c02406f12,9.95,-4.2403103858402265,0.9643644160876581,-4.397000050087698,1.0975731966840195e-5,1.4414794649783455e-4,F-LAR-Necropsy vs GC-LAR-Necropsy
08faf2041b38f0c8f2faa68e7d5edd31,d__Bacteria,p__Bacillota,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,NA,NA,08faf2041b38f0c8f2faa68e7d5edd31,8.25,-3.954193411683447,0.861428708561257,-4.590273544850474,4.426654909459109e-6,7.927736519667678e-5,F-LAR-Necropsy vs GC-LAR-Necropsy
569653b1659271a290facfcedd0de061,d__Bacteria,p__Bacillota,c__Bacilli,o__Lactobacillales,f__Enterococcaceae,g__Enterococcus,NA,569653b1659271a290facfcedd0de061,7.15,-3.7333518080826775,0.8236229124177521,-4.532841124008305,5.819558686814755e-6,9.173297214377059e-5,F-LAR-Necropsy vs GC-LAR-Necropsy
5fe7368c69e66529f0fe71354cc10fc7,d__Bacteria,p__Bacillota,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Lachnoclostridium,NA,5fe7368c69e66529f0fe71354cc10fc7,6.05,-3.472484794142108,0.9259597895880839,-3.7501464244865903,1.7673134146212448e-4,0.001657908298478025,F-LAR-Necropsy vs GC-LAR-Necropsy
6326f3883ecfa02452ebaa3af9c5d84c,d__Bacteria,p__Bacillota,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,NA.1,NA,6326f3883ecfa02452ebaa3af9c5d84c,5.8,-3.40598959526823,0.9009493646179726,-3.7804450827405423,1.565482485933856e-4,0.0015420002486448482,F-LAR-Necropsy vs GC-LAR-Necropsy
d46e2205f0c6ecf67b51f83d111c509c,d__Bacteria,p__Pseudomonadota,c__Gammaproteobacteria,o__Enterobacterales,f__Enterobacteriaceae,g__Escherichia-Shigella,NA,d46e2205f0c6ecf67b51f83d111c509c,584.05,-3.0908480306839303,0.5515619095849995,-5.603809793554298,2.096908125268525e-8,5.90129858111285e-7,F-LAR-Necropsy vs GC-LAR-Necropsy
922d33a2963d3e87a3d4df6b82371235,d__Bacteria,p__Bacillota,c__Bacilli,o__Staphylococcales,f__Staphylococcaceae,g__Staphylococcus.1,NA,922d33a2963d3e87a3d4df6b82371235,176.8,-3.028678905044965,0.6823837359614249,-4.43838084853795,9.06381369447664e-6,1.2754080698656415e-4,F-LAR-Necropsy vs GC-LAR-Necropsy
2cf0267a31dc6f1b8ee65c913b8f6e4d,d__Bacteria,p__Bacillota,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Incertae_Sedis.1,NA,2cf0267a31dc6f1b8ee65c913b8f6e4d,4.15,-2.8678945538149203,0.8161410036151011,-3.5139694502684775,4.414635813319485e-4,0.0037812315444519067,F-LAR-Necropsy vs GC-LAR-Necropsy
d80a7337f5b24c90a8cc2dd4d9896e61,d__Bacteria,p__Bacillota,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Marvinbryantia,NA,d80a7337f5b24c90a8cc2dd4d9896e61,3.65,-2.6553497175374963,0.9005401374382553,-2.948618953388469,0.003191972718271093,0.02245780805355019,F-LAR-Necropsy vs GC-LAR-Necropsy
5764a2920b99d13e54f43dd869a800c2,d__Bacteria,p__Bacillota,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Enterocloster,NA,5764a2920b99d13e54f43dd869a800c2,9.65,-2.620150254901912,0.951120789500873,-2.754802842945856,0.005872751217138156,0.03856439965920722,F-LAR-Necropsy vs GC-LAR-Necropsy
7215e6796de3e835c8879da79b1b708d,d__Bacteria,p__Bacillota,c__Clostridia,o__Oscillospirales,f__Oscillospiraceae,g__NK4A214_group,NA,7215e6796de3e835c8879da79b1b708d,3.25,-2.4594303058350833,0.73138163193843575,-3.362718173980758,7.717911220383749e-4,0.006081714041662394,F-LAR-Necropsy vs GC-LAR-Necropsy
d7ef89fbe0b04fbcfcd1261bbba40170,d__Bacteria,p__Bacillota,c__Clostridia,o__Oscillospirales,f__Ruminococcaceae,g__Acutalibacter,NA,d7ef89fbe0b04fbcfcd1261bbba40170,81.8,-2.3261651286002833,0.713995373415424,-3.257955464715386,0.0011221801606458822,0.00850267275566303,F-LAR-Necropsy vs GC-LAR-Necropsy
836bfc88bc7799209a2398d0ee5fc221,d__Bacteria,p__Bacillota,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Butyribacter.1,NA,836bfc88bc7799209a2398d0ee5fc221,3,-2.3219263925824354,0.8562374625623896,-2.711778559225617,0.006692328405144373,0.041199646744170045,F-LAR-Necropsy vs GC-LAR-Necropsy
50313555c1a4385e25c85b06a5c8ad42,d__Bacteria,p__Bacillota,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Faecalimonas,NA,50313555c1a4385e25c85b06a5c8ad42,23.7,-2.1942351076638156,0.7130316715999575,-3.0773318985119067,0.0020886260487022602,0.01523923450349427,F-LAR-Necropsy vs GC-LAR-Necropsy
4598e7db6dff8f019ff4f6c50dc05df4,d__Bacteria,p__Bacillota,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Extibacter,NA,4598e7db6dff8f019ff4f6c50dc05df4,2.65,2.1043351596686404,0.7286081277849743,2.8881576795828283,0.003875055645399195,0.02632365386702212,F-LAR-Necropsy vs GC-LAR-Necropsy
6d4ab2107d92228c6751838e7dbbe697,d__Bacteria,p__Bacillota,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__GCA-900066575,NA,6d4ab2107d92228c6751838e7dbbe697,18.35,2.2984657081982287,0.8546707891275538,2.6892994793287577,0.007160215029347362,0.04274431396307365,F-LAR-Necropsy vs GC-LAR-Necropsy
1bafe2718d9c0cc58a98eeee81340ec3,d__Bacteria,p__Bacillota,c__Bacilli,o__RF39,f__Incertae_Sedis,g__Incertae_Sedis.2,NA,1bafe2718d9c0cc58a98eeee81340ec3,3.5,2.584960570656761,0.7481845356215048,3.45497727844572,5.503391994814415e-4,0.004517367595743499,F-LAR-Necropsy vs GC-LAR-Necropsy
15a3d0ff15911ed59c4593963b584870,d__Bacteria,p__Bacillota,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__GCA-900066575.1,NA,15a3d0ff15911ed59c4593963b584870,13.75,3.1410085140325426,0.8576790327073995,3.6622190752611177,2.500398853619335e-4,0.002238993518922768,F-LAR-Necropsy vs GC-LAR-Necropsy
c3e8496b70f7341450e298f29c5fa4e5,d__Bacteria,p__Bacillota,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__[Eubacterium]_xylanophilum_group,NA,c3e8496b70f7341450e298f29c5fa4e5,5.95,3.4462526105640423,0.8735900029329733,3.944931373978255,7.982283563614876e-5,8.27636769490595e-4,F-LAR-Necropsy vs GC-LAR-Necropsy
