ASV,Domain,Phylum,Class,Order,Family,Genus,Species,row,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,comparison
d2e0c58f3e2b97c342c9c190ef1763f7,d__Bacteria,p__Bacillota,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Acetatifactor,NA,d2e0c58f3e2b97c342c9c190ef1763f7,118.06635399701638,-7.865656682457792,0.8164573896196128,-9.633885102224868,5.751291351849248e-22,5.80880426536774e-20,Launch plus 0 | F-LAR vs GC-LAR
8d5153b41e59c5ffb5a1fc080eb784cf,d__Bacteria,p__Bacillota,c__Clostridia,o__Oscillospirales,f__Oscillospiraceae,g__Incertae_Sedis,NA,8d5153b41e59c5ffb5a1fc080eb784cf,44.84203371656235,-6.459065929315638,0.6068641321139941,-10.643347641614051,1.8727739063771493e-26,3.7830032908818415e-24,Launch plus 0 | F-LAR vs GC-LAR
103728163337d3c6e1d01f1491bf25dc,d__Bacteria,p__Bacillota,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Acetatifactor.1,NA,103728163337d3c6e1d01f1491bf25dc,39.65486570143003,-6.27934035204396,0.8394156730431362,-7.480608896995511,7.397903732204846e-14,4.981255179684596e-12,Launch plus 0 | F-LAR vs GC-LAR
a333ee090a52b582e1a0e2dd776eb937,d__Bacteria,p__Bacillota,c__Bacilli,o__Erysipelotrichales,f__Erysipelatoclostridiaceae,g__Coprobacillus,NA,a333ee090a52b582e1a0e2dd776eb937,9.704865701430034,-4.190098045550898,0.935357225148748,-4.4796767832573865,7.475615321741622e-6,3.020148589983615e-4,Launch plus 0 | F-LAR vs GC-LAR
504efe2f63f610a0f92e8cd040e2f916,d__Bacteria,p__Bacillota,c__Clostridia,o__Oscillospirales,f__Ruminococcaceae,g__Negativibacillus,NA,504efe2f63f610a0f92e8cd040e2f916,41.538790384663436,-3.8588567852967355,0.8391381279380706,-4.598595459818653,4.25348808639393e-6,2.1480114836289346e-4,Launch plus 0 | F-LAR vs GC-LAR
42e1875ea3a84e3034ce5b2c02406f12,d__Bacteria,p__Bacillota,c__Bacilli,o__Lactobacillales,f__Lactobacillaceae,g__Ligilactobacillus,NA,42e1875ea3a84e3034ce5b2c02406f12,7.354865701430033,-3.7646511210472893,0.904585713869265,-4.161740632564726,3.1583095286234075e-5,0.0010632975413032138,Launch plus 0 | F-LAR vs GC-LAR
e9df682a357b429bbb39f690de3afde0,d__Bacteria,p__Bacillota,c__Clostridia,o__Clostridia_UCG-014,f__Incertae_Sedis,g__Incertae_Sedis.1,NA,e9df682a357b429bbb39f690de3afde0,6.154865701430033,-2.9514459660214523,0.7761486376709943,-3.802681371544913,1.4313840263158179e-4,0.003108472500698446,Launch plus 0 | F-LAR vs GC-LAR
11bc72b11af066726c613fcba7b0ea7a,d__Bacteria,p__Bacillota,c__Bacilli,o__Erysipelotrichales,f__Erysipelatoclostridiaceae,g__Massiliomicrobiota,NA,11bc72b11af066726c613fcba7b0ea7a,8.254865701430033,-2.934306760854894,0.8167032220911916,-3.5928678637284164,3.270584590053064e-4,0.005839064619699139,Launch plus 0 | F-LAR vs GC-LAR
3120660c883750285d85c12f7d898f67,d__Bacteria,p__Bacillota,c__Clostridia,o__Oscillospirales,f__Oscillospiraceae,g__Oscillibacter,NA,3120660c883750285d85c12f7d898f67,9.554865701430034,-2.8621236388345817,0.8000310045618649,-3.577515899401945,3.4687512592272116e-4,0.005839064619699139,Launch plus 0 | F-LAR vs GC-LAR
73cd1c10175eb846badd2f34bd86dd08,d__Bacteria,p__Bacillota,c__Clostridia,o__Oscillospirales,f__Oscillospiraceae,g__Intestinimonas,NA,73cd1c10175eb846badd2f34bd86dd08,8.804865701430034,-2.727201871835282,0.7974944564024699,-3.419712638678144,6.26873178558933e-4,0.008441892137926964,Launch plus 0 | F-LAR vs GC-LAR
040fd40bb15e36a102cdec3bafea5eb2,d__Bacteria,p__Bacillota,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,NA,NA,040fd40bb15e36a102cdec3bafea5eb2,3.654865701430033,-2.6442263205821135,0.846047302578723,-3.125388276190472,0.001775705079873221,0.01793462130671953,Launch plus 0 | F-LAR vs GC-LAR
