ASV,Domain,Phylum,Class,Order,Family,Genus,Species,row,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
b8455681fc92d051fdd023aa62417fb3,d__Bacteria,p__Bacillota,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Butyribacter,NA,b8455681fc92d051fdd023aa62417fb3,77.72567689647737,-6.973023515636595,0.979928303217292,-7.115850713509168,1.1122463397232112e-12,8.972120473767238e-11
6c921e3ae0af506f54295d074ca071bc,d__Bacteria,p__Bacillota,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__A2,NA,6c921e3ae0af506f54295d074ca071bc,106.70055810292713,-6.5918459173676816,0.7210577492171003,-9.141911205482335,6.135820796578353e-20,7.424343163859807e-18
33db715225edf6ee33a8e8bbb7a48728,d__Bacteria,p__Bacillota,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,NA,NA,33db715225edf6ee33a8e8bbb7a48728,47.27623463875214,-5.056088447991394,0.817934805663138,-6.181529888426971,6.34833376837209e-10,2.403817130243331e-8
b84e363885e7b59703e96a0d4c9ee61f,d__Bacteria,p__Bacillota,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Lachnospiraceae_UCG-006,NA,b84e363885e7b59703e96a0d4c9ee61f,16.220616509849066,-4.7773971510772775,0.8090742714545236,-5.904769586219385,3.5313995985458383e-9,1.0682483785601161e-7
504efe2f63f610a0f92e8cd040e2f916,d__Bacteria,p__Bacillota,c__Clostridia,o__Oscillospirales,f__Ruminococcaceae,g__Negativibacillus,NA,504efe2f63f610a0f92e8cd040e2f916,20.51486420264332,-4.295631558181463,0.6661826589523159,-6.448128753361826,1.132395481842918e-10,6.850992665149654e-9
1ca6c232223e11140a64765c71b31445,d__Bacteria,p__Bacillota,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Incertae_Sedis,NA,1ca6c232223e11140a64765c71b31445,76.92722144885178,-4.072155391619807,0.7838070889950793,-5.195354123220199,2.0433050852704364e-7,3.8036910048880434e-6
e61b52cd3ace83b9a3515c17c6438a87,d__Bacteria,p__Bacillota,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Butyribacter.1,NA,e61b52cd3ace83b9a3515c17c6438a87,11.128129744179713,-3.7995315666669125,0.7656119955749615,-4.962737768774808,6.950639734695004e-7,9.89444009291877e-6
0b0e03a032c5cc2b1c3b7af60839de9a,d__Bacteria,p__Bacillota,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,NA.1,NA,0b0e03a032c5cc2b1c3b7af60839de9a,79.85199818294518,-3.7362127975903703,0.751441207464487,-4.972062698287601,6.624427257364141e-7,9.89444009291877e-6
f9f60c2b7142924f5bf6369037234212,d__Bacteria,p__Bacillota,c__Clostridia,o__Oscillospirales,f__Oscillospiraceae,g__Intestinimonas,NA,f9f60c2b7142924f5bf6369037234212,72.37833234050929,-3.6372498805565736,0.7667904783022521,-4.743472934888022,2.100850233826457e-6,2.675819771505277e-5
da8644094f1d480f3b3a6a03a7027ab4,d__Bacteria,p__Bacillota,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Hungatella,NA,da8644094f1d480f3b3a6a03a7027ab4,33.222641452370304,-3.5072040437321395,0.7580264298276057,-4.626756938448394,3.7143599328967808e-6,4.4943755188051043e-5
