ASV,Domain,Phylum,Class,Order,Family,Genus,Species,row,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
4205d93a032f445a1687829d22eaa2b2,d__Bacteria,p__Bacillota,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Hungatella,NA,4205d93a032f445a1687829d22eaa2b2,71.11446798164795,-5.920861287702933,0.7047419064723117,-8.401460496851488,4.409595182157877e-17,1.7270914463451683e-15
1aeccc15c16a48616976f501a98a64be,d__Bacteria,p__Bacillota,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,NA,NA,1aeccc15c16a48616976f501a98a64be,24.080964347188708,-5.612815646545985,0.8802905810637913,-6.376094175360994,1.8166124384821633e-10,3.5575326920275694e-9
d80a7337f5b24c90a8cc2dd4d9896e61,d__Bacteria,p__Bacillota,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Marvinbryantia,NA,d80a7337f5b24c90a8cc2dd4d9896e61,110.34347239099073,-5.049951668998448,0.7241408271121085,-6.973714890704036,3.0867934498368515e-12,8.059960674574e-11
8646bffa210e3f061cc57f1b1cf2f751,d__Bacteria,p__Bacillota,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Hungatella.1,NA,8646bffa210e3f061cc57f1b1cf2f751,333.37897978635704,-4.133995191702532,0.544608352297418,-7.590767152694898,3.1801698375177795e-14,1.0676284454523974e-12
d49783e7800974b5f2bcce554e26072e,d__Bacteria,p__Bacillota,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Blautia,NA,d49783e7800974b5f2bcce554e26072e,24.594526737664335,-4.061086553792896,0.7181004108562173,-5.6553185214735,1.5555751688991446e-8,2.2847510293206186e-7
f5e65944985d39991cba3fab949a0150,d__Bacteria,p__Bacillota,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__ASF356,NA,f5e65944985d39991cba3fab949a0150,80.0839593077284,-3.4425347156097352,0.7987450912056598,-4.309929104432338,1.6330689122783276e-5,1.2792373146180232e-4
8212472385df0dc1b6527a764d613b7d,d__Bacteria,p__Bacillota,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Acetatifactor,NA,8212472385df0dc1b6527a764d613b7d,18.866462795878864,-3.3976145962344395,0.7273763806298637,-4.671054335435407,2.9965765311495936e-6,3.061719499218063e-5
f09b6ee752454bc944448e79c63d441d,d__Bacteria,p__Bacillota,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Blautia.1,NA,f09b6ee752454bc944448e79c63d441d,4.975219352693823,-3.1585210554770398,0.7565363488231328,-4.1749759418571655,2.9801754658074944e-5,2.1885663577023788e-4
794c48d1c110499dbd6338457f2ed417,d__Bacteria,p__Bacillota,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Enterocloster,NA,794c48d1c110499dbd6338457f2ed417,5.376017435385637,-3.0655890942090025,0.79697806204769,-3.8465162846923664,1.1980917121669519e-4,7.038788808980842e-4
d2d480b667c0d25176b7ad8e933c0ae7,d__Bacteria,p__Bacillota,c__Bacilli,o__Erysipelotrichales,f__Erysipelatoclostridiaceae,g__Massiliomicrobiota,NA,d2d480b667c0d25176b7ad8e933c0ae7,22.38912021780205,-3.010013165294524,0.6310147208230373,-4.770115602641632,1.8412022321559448e-6,2.0603929740792715e-5
2dfc021ab6895ae3b4c956d50052f17e,d__Bacteria,p__Bacillota,c__Clostridia,o__Oscillospirales,f__Oscillospiraceae,g__Oscillibacter,NA,2dfc021ab6895ae3b4c956d50052f17e,10.615347285872511,-2.9203077788288754,0.6805565430440922,-4.291058264999553,1.778236455884439e-5,1.3480179584930425e-4
07699fa14cb8970eee5e8dda19dd5dbe,d__Bacteria,p__Bacillota,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Eisenbergiella,NA,07699fa14cb8970eee5e8dda19dd5dbe,6.583446500536327,-2.680965915913676,0.676771132746084,-3.9614070195862516,7.450939660275423e-5,4.6106578491871106e-4
d46e2205f0c6ecf67b51f83d111c509c,d__Bacteria,p__Pseudomonadota,c__Gammaproteobacteria,o__Enterobacterales,f__Enterobacteriaceae,g__Escherichia-Shigella,NA,d46e2205f0c6ecf67b51f83d111c509c,421.02640383287775,-2.437304943477812,0.5982246568149514,-4.074230167065385,4.616680576552883e-5,3.0997712442569356e-4
