ASV,Domain,Phylum,Class,Order,Family,Genus,Species,row,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
4205d93a032f445a1687829d22eaa2b2,d__Bacteria,p__Bacillota,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Hungatella,NA,4205d93a032f445a1687829d22eaa2b2,71.11446798164795,-7.511235244655107,0.713281561275425,-10.53053331593796,6.247948420825852e-26,4.311084410369838e-24
6c921e3ae0af506f54295d074ca071bc,d__Bacteria,p__Bacillota,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__A2,NA,6c921e3ae0af506f54295d074ca071bc,106.70055810292713,-7.012969296728889,0.735956838457885,-9.529049708164653,1.5872952560840616e-21,7.301558177986684e-20
7807a7c66b7e44dcda14bb67b2e6a4b4,d__Bacteria,p__Bacillota,c__Clostridia,o__Oscillospirales,f__Oscillospiraceae,g__Colidextribacter,NA,7807a7c66b7e44dcda14bb67b2e6a4b4,23.104731273659674,-6.120625974053435,0.7083372770603055,-8.640835619233329,5.5803358103055174e-18,1.7113029818270254e-16
d80a7337f5b24c90a8cc2dd4d9896e61,d__Bacteria,p__Bacillota,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Marvinbryantia,NA,d80a7337f5b24c90a8cc2dd4d9896e61,110.34347239099073,-5.641256028926902,0.7272991917744597,-7.756444792910334,8.734330548609428e-15,2.0088960261801686e-13
b8455681fc92d051fdd023aa62417fb3,d__Bacteria,p__Bacillota,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Butyribacter,NA,b8455681fc92d051fdd023aa62417fb3,77.72567689647737,-5.533001791219642,0.9338503292327667,-5.924934240549499,3.1242238515756713e-9,2.6946430719840164e-8
91792715e48821417cf5ce4b19768495,d__Bacteria,p__Bacillota,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__[Acetivibrio]_ethanolgignens_group,NA,91792715e48821417cf5ce4b19768495,15.804741757720885,-5.350369618034649,0.7635709873335728,-7.007036289734372,2.4341914691210127e-12,3.1992230737019023e-11
d49783e7800974b5f2bcce554e26072e,d__Bacteria,p__Bacillota,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Blautia,NA,d49783e7800974b5f2bcce554e26072e,24.594526737664335,-5.301933851013246,0.7185378375417957,-7.37878170640505,1.5974449414409303e-13,3.149248598840691e-12
8212472385df0dc1b6527a764d613b7d,d__Bacteria,p__Bacillota,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Acetatifactor,NA,8212472385df0dc1b6527a764d613b7d,18.866462795878864,-5.274930924059021,0.71886872511124,-7.337822247368964,2.170972246851381e-13,3.9945889342065404e-12
ce78414357068359ddae6a47b6592a08,d__Bacteria,p__Bacillota,c__Clostridia,o__Oscillospirales,f__Oscillospiraceae,g__Incertae_Sedis,NA,ce78414357068359ddae6a47b6592a08,40.442604450100504,-5.236644256904928,0.6944554883362207,-7.5406478094814995,4.6764251360856216e-14,9.928410288920242e-13
8646bffa210e3f061cc57f1b1cf2f751,d__Bacteria,p__Bacillota,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Hungatella.1,NA,8646bffa210e3f061cc57f1b1cf2f751,333.37897978635704,-5.205699126571272,0.5507913137966178,-9.451309409163086,3.34618203180783e-21,1.319351772541373e-19
