ASV,Domain,Phylum,Class,Order,Family,Genus,Species,row,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
4205d93a032f445a1687829d22eaa2b2,d__Bacteria,p__Bacillota,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Hungatella,NA,4205d93a032f445a1687829d22eaa2b2,45.13474882415619,-6.383760226612948,0.9118103127538135,-7.00119327158405,2.5379154836640977e-12,3.654598296476301e-11
4598e7db6dff8f019ff4f6c50dc05df4,d__Bacteria,p__Bacillota,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Extibacter,NA,4598e7db6dff8f019ff4f6c50dc05df4,44.88474882415619,-6.376493352768537,0.7028931416559924,-9.071782003372142,1.1708617184038846e-19,5.058122623504782e-18
8212472385df0dc1b6527a764d613b7d,d__Bacteria,p__Bacillota,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Acetatifactor,NA,8212472385df0dc1b6527a764d613b7d,25.584748824156186,-5.5517910412265605,0.835034757880048,-6.648574791450861,2.959445902093371e-11,3.3644227097482533e-10
5331f57ab0f2e416cce5e856ca82bc07,d__Bacteria,p__Bacillota,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__GCA-900066575,NA,5331f57ab0f2e416cce5e856ca82bc07,25.134748824156187,-5.52617455355313,0.712635974400826,-7.754554572128438,8.865409499864858e-15,1.9149284519708094e-13
f3e9d78daeea42d345080748e31ae3dd,d__Bacteria,p__Bacillota,c__Clostridia,o__Oscillospirales,f__Oscillospiraceae,g__Colidextribacter,NA,f3e9d78daeea42d345080748e31ae3dd,23.184748824156188,-5.40669703386843,0.7836848898508415,-6.899070154201244,5.23440188922695e-12,6.650769459253065e-11
7807a7c66b7e44dcda14bb67b2e6a4b4,d__Bacteria,p__Bacillota,c__Clostridia,o__Oscillospirales,f__Oscillospiraceae,g__Colidextribacter.1,NA,7807a7c66b7e44dcda14bb67b2e6a4b4,21.48474882415619,-5.294730169026844,0.6648236501395085,-7.964112239261919,1.6641415680236504e-15,4.493182233663856e-14
85ad3838de9cd515fe87a67ecc1e8637,d__Bacteria,p__Bacillota,c__Clostridia,o__Oscillospirales,f__Ruminococcaceae,NA,NA,85ad3838de9cd515fe87a67ecc1e8637,20.334748824156186,-5.21220246718107,0.9184667423774969,-5.674895155908448,1.387736227704518e-8,1.1990041007367036e-7
4b3fc5de9758cf6cdb010bd41d101a65,d__Bacteria,p__Bacillota,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,NA.1,NA,4b3fc5de9758cf6cdb010bd41d101a65,439.97181817698333,-4.805704072553296,0.6848982414621708,-7.016668727742282,2.272204721857001e-12,3.654598296476301e-11
0f4a15d85033f63632e910d9603f3918,d__Bacteria,p__Bacillota,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Lachnospiraceae_UCG-004,NA,0f4a15d85033f63632e910d9603f3918,13.934748824156188,-4.649362477630316,0.7993146035711213,-5.8166865172464295,6.0025559019057695e-9,5.402300311715193e-8
a333ee090a52b582e1a0e2dd776eb937,d__Bacteria,p__Bacillota,c__Bacilli,o__Erysipelotrichales,f__Erysipelatoclostridiaceae,g__Coprobacillus,NA,a333ee090a52b582e1a0e2dd776eb937,12.084748824156188,-4.434821332626391,0.8523230656780592,-5.203216375586765,1.9586859081328804e-7,1.3221129879896943e-6
91792715e48821417cf5ce4b19768495,d__Bacteria,p__Bacillota,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__[Acetivibrio]_ethanolgignens_group,NA,91792715e48821417cf5ce4b19768495,11.684748824156188,-4.384128288886093,0.8113977156557798,-5.403180467845903,6.546953065248404e-8,5.050506650334484e-7
97d033725a3fcb0e6b0f9554365d4e0f,d__Bacteria,p__Bacillota,c__Bacilli,o__Erysipelotrichales,f__Erysipelotrichaceae,g__Incertae_Sedis,NA,97d033725a3fcb0e6b0f9554365d4e0f,19.85518603009376,-4.223790710755906,0.6074834122338355,-6.952931760266836,3.5777177847956733e-12,4.829919009474159e-11
2dfc021ab6895ae3b4c956d50052f17e,d__Bacteria,p__Bacillota,c__Clostridia,o__Oscillospirales,f__Oscillospiraceae,g__Oscillibacter,NA,2dfc021ab6895ae3b4c956d50052f17e,9.934748824156188,-4.137788611144741,0.8197217643712558,-5.0477964487358875,4.469349480246345e-7,2.681609688147807e-6
9908fffab7ed4f3bec44cda2f5084d49,d__Bacteria,p__Bacillota,c__Bacilli,o__Lactobacillales,f__Enterococcaceae,g__Enterococcus,NA,9908fffab7ed4f3bec44cda2f5084d49,9.684748824156188,-4.098794463669688,0.847618008720621,-4.835662316632858,1.3270303603485648e-6,7.151723032142029e-6
42e1875ea3a84e3034ce5b2c02406f12,d__Bacteria,p__Bacillota,c__Bacilli,o__Lactobacillales,f__Lactobacillaceae,g__Ligilactobacillus,NA,42e1875ea3a84e3034ce5b2c02406f12,150.9347488241562,-3.894949365755942,0.7511504113205489,-5.185312165253938,2.1565334066651249e-7,1.411549138908082e-6
ac603e12c4b975609374395b148a0a79,d__Bacteria,p__Bacillota,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Lactonifactor,NA,ac603e12c4b975609374395b148a0a79,8.434748824156188,-3.887339360940667,0.7392718708964428,-5.258335280939163,1.4536530912099012e-7,1.012867960326899e-6
6116fd7dc95407952dfa6a8cad835556,d__Bacteria,p__Bacillota,c__Bacilli,o__Erysipelotrichales,f__Erysipelatoclostridiaceae,NA.2,NA,6116fd7dc95407952dfa6a8cad835556,80.10609242607957,-3.813923720725813,0.6446897140805312,-5.915905958210151,3.300537620119962e-9,3.24052784520869e-8
8646bffa210e3f061cc57f1b1cf2f751,d__Bacteria,p__Bacillota,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Hungatella.1,NA,8646bffa210e3f061cc57f1b1cf2f751,233.1113108775742,-3.746546586880447,0.7767856576104881,-4.823140785587364,1.4131515088998515e-6,7.267636331484951e-6
15a3d0ff15911ed59c4593963b584870,d__Bacteria,p__Bacillota,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__GCA-900066575.1,NA,15a3d0ff15911ed59c4593963b584870,20.134748824156187,-3.69088687933746,0.7686711080865204,-4.801646426552069,1.573663740568323e-6,7.904915534017623e-6
5eaeab6fa2a8efe96eac7a0712c65080,d__Bacteria,p__Bacillota,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Incertae_Sedis.1,NA,5eaeab6fa2a8efe96eac7a0712c65080,54.7376662742924,-3.6823352496485615,0.670931269089974,-5.4883941460101315,4.056042167919656e-8,3.2448337343357246e-7
f434bb1f62e53ad7aed6f6ffd2ec039c,d__Bacteria,p__Bacillota,c__Bacilli,o__Lactobacillales,f__Lactobacillaceae,g__Ligilactobacillus.1,NA,f434bb1f62e53ad7aed6f6ffd2ec039c,134.83474882415618,-3.672350134880326,0.752495552182792,-4.880228360457152,1.0596307187149371e-6,6.185952303849362e-6
1b9ab7ba8573cbfe5f1a9f59f0b38ff4,d__Bacteria,p__Actinomycetota,c__Coriobacteriia,o__Coriobacteriales,f__Eggerthellaceae,g__Asaccharobacter,NA,1b9ab7ba8573cbfe5f1a9f59f0b38ff4,19.408179711087797,-3.457378907716286,0.6569939109469852,-5.262421538630169,1.42170341940623e-7,1.012867960326899e-6
d2be1254f5e7eb97bd42ec342d9cb11d,d__Bacteria,p__Bacillota,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Incertae_Sedis.2,NA,d2be1254f5e7eb97bd42ec342d9cb11d,6.134748824156188,-3.390512591698168,0.8352179381493943,-4.059434594054075,4.91916840849552e-5,1.770900627058387e-4
cd8d2ddb88bbe44dfa61a34dfd244b0b,d__Bacteria,p__Bacillota,c__Clostridia,o__Oscillospirales,f__Ruminococcaceae,g__Paludicola,NA,cd8d2ddb88bbe44dfa61a34dfd244b0b,26.08259954427492,-3.3462124283089327,0.649393609100856,-5.152826238838515,2.56589697126666e-7,1.6300992523341133e-6
0e064a94474c099cd422c1ef160ab28c,d__Bacteria,p__Bacillota,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Lachnospiraceae_NK4A136_group,NA,0e064a94474c099cd422c1ef160ab28c,33.88474882415619,-3.2377175093754826,0.8905986494090444,-3.6354395007491487,2.7750711666033745e-4,8.946498089348193e-4
924668f542df9de35c2226e4a6cf09bd,d__Bacteria,p__Bacillota,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Lachnospiraceae_NK4A136_group.1,NA,924668f542df9de35c2226e4a6cf09bd,854.051637655136,-3.1679724695418314,0.5420448770610344,-5.84448373853945,5.081416745711049e-9,4.7721131177112465e-8
b84e363885e7b59703e96a0d4c9ee61f,d__Bacteria,p__Bacillota,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Lachnospiraceae_UCG-006,NA,b84e363885e7b59703e96a0d4c9ee61f,31.916497647906468,-3.152424315236812,0.7133249032574212,-4.419338650369789,9.900340495599833e-6,4.1124491289414696e-5
d80a7337f5b24c90a8cc2dd4d9896e61,d__Bacteria,p__Bacillota,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Marvinbryantia,NA,d80a7337f5b24c90a8cc2dd4d9896e61,69.29750922954806,-3.1311148164009053,0.8765439993330795,-3.572113686002324,3.5411161827454717e-4,0.0010926872792471742
52573485a4521e007e4c5217fc5d7c68,d__Bacteria,p__Bacillota,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Lachnospiraceae_UCG-010,NA,52573485a4521e007e4c5217fc5d7c68,120.67524176665786,-3.1283797250530676,0.6931378930860648,-4.513358389806899,6.3809060342274655e-6,2.7025013792022208e-5
6d4ab2107d92228c6751838e7dbbe697,d__Bacteria,p__Bacillota,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__GCA-900066575.2,NA,6d4ab2107d92228c6751838e7dbbe697,31.04058372442862,-3.0971869627271733,0.7092314223608638,-4.366962411813862,1.2598639851972235e-5,4.947829469138187e-5
1aeccc15c16a48616976f501a98a64be,d__Bacteria,p__Bacillota,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,NA.3,NA,1aeccc15c16a48616976f501a98a64be,45.05675627782378,-3.0028201747183547,0.7891141348553148,-3.8053052683803794,1.416294047801515e-4,4.7799924113301135e-4
c5aad5ebe154556c8422b669638c0745,d__Bacteria,p__Bacillota,c__Clostridia,o__Oscillospirales,f__Oscillospiraceae,NA.4,NA,c5aad5ebe154556c8422b669638c0745,68.88980394343402,-2.9596636388994515,0.95792907526545,-3.089647986808736,0.002003938466347446,0.005278667179646932
95fdd816723ca482a5caba10bea171c8,d__Bacteria,p__Bacillota,c__Bacilli,o__Lactobacillales,f__Lactobacillaceae,g__Ligilactobacillus.2,NA,95fdd816723ca482a5caba10bea171c8,590.7622068727505,-2.9586921782699815,0.4424234087686667,-6.687467524615126,2.2706557813337856e-11,2.7247869376005425e-10
b1afd2ca3861c635eba188c1ce960692,d__Bacteria,p__Bacillota,c__Clostridia,o__Peptostreptococcales-Tissierellales,f__Anaerovoracaceae,g__[Eubacterium]_brachy_group,NA,b1afd2ca3861c635eba188c1ce960692,36.95719126258383,-2.934547999458177,0.6377794106865807,-4.601195884167983,4.200721432736629e-6,1.814711658942224e-5
1970af775bfecdd2ca50180b69989ee0,d__Bacteria,p__Bacillota,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__GCA-900066575.3,NA,1970af775bfecdd2ca50180b69989ee0,54.34731770577192,-2.916417265800493,0.7042212989058304,-4.141336353120557,3.4528818230553244e-5,1.2641058877626272e-4
1332b0dcde33b5f46ce13a45f40f5b9a,d__Bacteria,p__Bacillota,c__Clostridia,o__Peptococcales,f__Peptococcaceae,g__Incertae_Sedis.3,NA,1332b0dcde33b5f46ce13a45f40f5b9a,15.526255027638772,-2.9092435580201528,0.7765859327872984,-3.7461965703890425,1.7953592838220193e-4,5.966117004700865e-4
33db715225edf6ee33a8e8bbb7a48728,d__Bacteria,p__Bacillota,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,NA.5,NA,33db715225edf6ee33a8e8bbb7a48728,46.67949203103618,-2.793748604260322,0.8641101197705942,-3.2330932601530145,0.001224575788102623,0.0034803732925021915
85d5b1c475828edf7b8bc107e70ba245,d__Bacteria,p__Bacillota,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Anaerotignum,NA,85d5b1c475828edf7b8bc107e70ba245,5.894967427124973,-2.7880247176112354,0.732024002285211,-3.8086520508995085,1.397264146374559e-4,4.7799924113301135e-4
45b76e49b6500d8d245c2f27f6fbb143,d__Bacteria,p__Bacillota,c__Bacilli,o__Erysipelotrichales,f__Erysipelatoclostridiaceae,g__Thomasclavelia,NA,45b76e49b6500d8d245c2f27f6fbb143,850.6364808760919,-2.7431618983367096,0.7557349253683988,-3.6297937362091584,2.836477875428412e-4,9.009988545478485e-4
ce78414357068359ddae6a47b6592a08,d__Bacteria,p__Bacillota,c__Clostridia,o__Oscillospirales,f__Oscillospiraceae,g__Incertae_Sedis.4,NA,ce78414357068359ddae6a47b6592a08,15.234748824156188,-2.6886519423788497,0.8819574148585805,-3.048505400694395,0.0022998277894170686,0.005985094006193817
d2d480b667c0d25176b7ad8e933c0ae7,d__Bacteria,p__Bacillota,c__Bacilli,o__Erysipelotrichales,f__Erysipelatoclostridiaceae,g__Massiliomicrobiota,NA,d2d480b667c0d25176b7ad8e933c0ae7,8.86029533157815,-2.5857445061597164,0.7215886495943689,-3.5834051819042014,3.3914390852726154e-4,0.0010616678875636015
30f8d4f117e346821019e922f3735cca,d__Bacteria,p__Bacillota,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Lachnospira,NA,30f8d4f117e346821019e922f3735cca,12.134748824156187,-2.43196370362289,0.8001047355245551,-3.039556692572848,0.0023692660609573738,0.006092398442461819
