ASV,Domain,Phylum,Class,Order,Family,Genus,Species,row,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
0e064a94474c099cd422c1ef160ab28c,d__Bacteria,p__Bacillota,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Lachnospiraceae_NK4A136_group,NA,0e064a94474c099cd422c1ef160ab28c,145.242406741765,-7.470889895734674,1.0190008584830659,-7.3315835149110695,2.274490124821848e-13,5.504266102068873e-11
d3d5f57b1c8aafeca61afdb1627d2990,d__Bacteria,p__Bacillota,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Roseburia,NA,d3d5f57b1c8aafeca61afdb1627d2990,31.023230025380066,-5.2363414718284025,1.0529218341209055,-4.973153088994754,6.587260047372878e-7,2.2773099020917663e-5
885af48524af5ccac2ffcff5abf6c1f9,d__Bacteria,p__Bacillota,c__Clostridia,o__Oscillospirales,f__Oscillospiraceae,g__Incertae_Sedis,NA,885af48524af5ccac2ffcff5abf6c1f9,29.68103668585616,-5.172025999063388,0.9414882391987863,-5.493457893286933,3.94139113297358e-8,4.769083270898031e-6
ee766857ab5fc018ac26632146bc90e1,d__Bacteria,p__Bacillota,c__Clostridia,o__Oscillospirales,f__Oscillospiraceae,g__Colidextribacter,NA,ee766857ab5fc018ac26632146bc90e1,24.466311036136503,-4.891371251496342,0.9601567026825792,-5.09434682675271,3.499456275429796e-7,1.6937368373080213e-5
99bccd58aaeb00f98e22add40be6e36b,d__Bacteria,p__Bacillota,c__Clostridia,o__Peptostreptococcales-Tissierellales,f__Peptostreptococcaceae,g__Clostridioides,NA,99bccd58aaeb00f98e22add40be6e36b,24.298732821671308,-4.8810607943186914,0.996764319267814,-4.8969056174724805,9.735756967794408e-7,2.66817305975387e-5
270a745647e1f4f2daefddcae78b43c7,d__Bacteria,p__Bacillota,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,NA,NA,270a745647e1f4f2daefddcae78b43c7,23.37177848480976,-4.824564563092514,0.986215120972541,-4.892000193968678,9.981634634309949e-7,2.66817305975387e-5
03a1f9f63e2fa6c7bdf27d33eba2b09d,d__Bacteria,p__Bacillota,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,NA.1,NA,03a1f9f63e2fa6c7bdf27d33eba2b09d,22.930844210115065,-4.7968773652906975,0.9845015109291322,-4.872392080702447,1.1025508511379628e-6,2.66817305975387e-5
cc8e1142005e4d17c538cc17cf7a8b14,d__Bacteria,p__Bacillota,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,NA.2,NA,cc8e1142005e4d17c538cc17cf7a8b14,19.877650915432966,-4.588962352931271,0.9105666960435869,-5.039677349139077,4.663173325343122e-7,1.8808132412217262e-5
1332b0dcde33b5f46ce13a45f40f5b9a,d__Bacteria,p__Bacillota,c__Clostridia,o__Peptococcales,f__Peptococcaceae,g__Incertae_Sedis.1,NA,1332b0dcde33b5f46ce13a45f40f5b9a,15.457286889868447,-4.222371949760586,0.8109300662646352,-5.206826242378682,1.9209781475658814e-7,1.5495890390364778e-5
975e80e15eee8e00f49bdf8e8df3b94d,d__Bacteria,p__Bacillota,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,NA.3,NA,975e80e15eee8e00f49bdf8e8df3b94d,34.798654032749084,-3.8340002927808268,0.8483687658002022,-4.519261490213521,6.205571225835158e-6,1.365225669683735e-4
86555947ddfc576c1bb9c42deb3998df,d__Bacteria,p__Bacillota,c__Clostridia,o__Oscillospirales,f__Oscillospiraceae,NA.4,NA,86555947ddfc576c1bb9c42deb3998df,11.661958973906232,-3.808554907335477,0.8772522269692354,-4.34145937764492,1.4153944954052162e-5,2.8044736798506426e-4
1c281deaf71c6d702d1ddadfa953eac6,d__Bacteria,p__Bacillota,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Incertae_Sedis.2,NA,1c281deaf71c6d702d1ddadfa953eac6,11.413877348409976,-3.7768812532426064,0.8787703865293867,-4.297915941568093,1.7241151873551048e-5,2.9802562524281097e-4
ac603e12c4b975609374395b148a0a79,d__Bacteria,p__Bacillota,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Lactonifactor,NA,ac603e12c4b975609374395b148a0a79,8.426435455200751,-3.3318351915164524,0.7698804429957138,-4.327730651985145,1.5065354478536509e-5,2.8044736798506426e-4
ce0275653ab470d757cdebc8993f6fe3,d__Bacteria,p__Bacillota,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Frisingicoccus,NA,ce0275653ab470d757cdebc8993f6fe3,7.4075645378759,-3.1407403726410363,0.8532803330665709,-3.6807837365167577,2.325181577928067e-4,0.0028859456139009214
85781f76fdd51f1cea0eab36c8b76a12,d__Bacteria,p__Bacillota,c__Bacilli,o__Erysipelotrichales,f__Erysipelotrichaceae,g__Incertae_Sedis.3,NA,85781f76fdd51f1cea0eab36c8b76a12,7.235561595725226,-3.1060452735591317,0.8482252841014395,-3.6618164204448296,2.504332970740469e-4,0.0028859456139009214
f434bb1f62e53ad7aed6f6ffd2ec039c,d__Bacteria,p__Bacillota,c__Bacilli,o__Lactobacillales,f__Lactobacillaceae,g__Ligilactobacillus,NA,f434bb1f62e53ad7aed6f6ffd2ec039c,77.69925959295837,-3.0183165355938666,0.8239433009012791,-3.6632575715977653,2.4902790181973925e-4,0.0028859456139009214
94c166c00b684ce53c2af518ec36e933,d__Bacteria,p__Bacillota,c__Bacilli,o__RF39,f__Incertae_Sedis,g__Incertae_Sedis.4,NA,94c166c00b684ce53c2af518ec36e933,6.458786559339047,-2.9373697093288285,0.814208802036612,-3.607636888696698,3.0899852070552937e-4,0.003251201826553831
d56101b838ca3442c9b0a8c0a926b70d,d__Bacteria,p__Bacillota,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,NA.5,NA,d56101b838ca3442c9b0a8c0a926b70d,5.661813920804809,-2.74013943916614,0.8380206804902948,-3.2697754398650236,0.0010763289234570815,0.010018138441408222
e60885ac3c30c3634ac82d49056df82c,d__Bacteria,p__Bacillota,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__GCA-900066575,NA,e60885ac3c30c3634ac82d49056df82c,5.146351787770579,-2.596867441074522,0.8195033576662226,-3.1688307519201233,0.0015305349271280098,0.011574670386405575
c5aad5ebe154556c8422b669638c0745,d__Bacteria,p__Bacillota,c__Clostridia,o__Oscillospirales,f__Oscillospiraceae,NA.6,NA,c5aad5ebe154556c8422b669638c0745,24.696032230209305,-2.5737169195791223,0.7985966143221829,-3.222799688129897,0.0012694429388393285,0.01137797004441176
b5c5a71372eea1709c1bff19a2f24272,d__Bacteria,p__Bacillota,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Anaerotignum,NA,b5c5a71372eea1709c1bff19a2f24272,4.971021327865107,-2.5461813542149283,0.8248158312042182,-3.0869695487022155,0.002022083098802168,0.013981260283146418
95fdd816723ca482a5caba10bea171c8,d__Bacteria,p__Bacillota,c__Bacilli,o__Lactobacillales,f__Lactobacillaceae,g__Ligilactobacillus.1,NA,95fdd816723ca482a5caba10bea171c8,382.58343316265075,-2.3797729324661536,0.5744007551224855,-4.143053279863272,3.427122849263058e-5,5.529091530144401e-4
f09b6ee752454bc944448e79c63d441d,d__Bacteria,p__Bacillota,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Blautia,NA,f09b6ee752454bc944448e79c63d441d,4.3145253829709675,-2.332483726430428,0.7284099582348726,-3.2021579332641807,0.001364021921837816,0.011382527761543153
42e1875ea3a84e3034ce5b2c02406f12,d__Bacteria,p__Bacillota,c__Bacilli,o__Lactobacillales,f__Lactobacillaceae,g__Ligilactobacillus.2,NA,42e1875ea3a84e3034ce5b2c02406f12,56.98212894297103,-2.304129834292551,0.8526756771128116,-2.7022347372384448,0.006887511775530239,0.03401587448323097
569653b1659271a290facfcedd0de061,d__Bacteria,p__Bacillota,c__Bacilli,o__Lactobacillales,f__Enterococcaceae,g__Enterococcus,NA,569653b1659271a290facfcedd0de061,7.145453020796431,-2.302047807430262,0.757835628770182,-3.037661096992804,0.0023842192745190216,0.015594082822529817
aa052f6ed7696840ff494c82879d3e1a,d__Bacteria,p__Bacillota,c__Bacilli,o__Erysipelotrichales,f__Erysipelotrichaceae,g__Holdemania,NA,aa052f6ed7696840ff494c82879d3e1a,16.263367982542917,-2.1682940015607586,0.7685167415664537,-2.8214011280237883,0.00478143740193267,0.02690948491320247
d114fb4c335125128be28401522dd41a,d__Bacteria,p__Bacillota,c__Bacilli,o__Lactobacillales,f__Streptococcaceae,g__Lactococcus,NA,d114fb4c335125128be28401522dd41a,56.89540424369811,-2.162077120515014,0.5697561425104316,-3.7947412220754226,1.4779752709776655e-4,0.0019870556420921947
05dbbf0301a9625e1f1a41470a92f7fe,d__Bacteria,p__Bacillota,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Anaerostipes,NA,05dbbf0301a9625e1f1a41470a92f7fe,3.8430100427386615,-2.1587398736069816,0.7139260125171426,-3.023758534859586,0.002496556130320863,0.015899120619411813
5e18094f37d33836726fabc09f8e46fc,d__Bacteria,p__Bacillota,c__Clostridia,o__Clostridia_vadinBB60_group,f__Incertae_Sedis,g__Incertae_Sedis.5,NA,5e18094f37d33836726fabc09f8e46fc,3.666178635384784,-2.0785705795850378,0.7779775675138275,-2.6717615859124293,0.007545423666470739,0.036135495544149916
1970af775bfecdd2ca50180b69989ee0,d__Bacteria,p__Bacillota,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__GCA-900066575.1,NA,1970af775bfecdd2ca50180b69989ee0,371.75096577547436,-2.029026506068188,0.5576605475569697,-3.638461632182983,2.7427147834695057e-4,0.0030169862618164562
794c48d1c110499dbd6338457f2ed417,d__Bacteria,p__Bacillota,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Enterocloster,NA,794c48d1c110499dbd6338457f2ed417,2.3182935873631862,2.0686881380597093,0.5118443892078078,4.041634882940616,5.30798349854125e-5,8.02832504154364e-4
